Employee_ID,Company,Department,Role,Age,Salary,JoinDate
135,Wipro,Finance,SE,44,60283,23-08-2020
136,Infosys,IT,DevOps,35,106589,24-08-2020
137,Wipro,Sales,DevOps,25,98070,25-08-2020
138,Infosys,Finance,BA,55,71479,26-08-2020
139,Wipro,Finance,SE,48,116137,27-08-2020
140,Wipro,Engineering,DS,52,102268,28-08-2020
141,HCLTech,Sales,DevOps,29,133451,29-08-2020
142,HCLTech,Engineering,DS,35,70895,30-08-2020
143,Wipro,Support,SSE,35,34085,31-08-2020
144,Wipro,Support,DS,44,117919,01-09-2020
145,Infosys,Support,DS,54,79884,02-09-2020
146,Infosys,IT,DevOps,30,78211,03-09-2020
147,Wipro,Support,BA,43,94934,04-09-2020
148,Wipro,IT,BA,37,109379,05-09-2020
149,Infosys,HR,QA,43,9474,06-09-2020
150,Wipro,Finance,SE,55,54634,07-09-2020
151,HCLTech,Sales,SE,21,38385,08-09-2020
152,Wipro,Cloud,QA,52,18503,09-09-2020
153,Infosys,Engineering,DevOps,27,138897,10-09-2020
154,HCLTech,HR,SE,46,39381,11-09-2020
155,Wipro,Sales,QA,50,15135,12-09-2020
156,HCLTech,Sales,BA,59,65469,13-09-2020
157,Wipro,Sales,DS,33,28364,14-09-2020
158,Infosys,Engineering,SSE,56,76238,15-09-2020
159,HCLTech,AI,BA,26,95588,16-09-2020
160,Wipro,IT,SE,45,108777,17-09-2020
161,TCS,Cloud,SE,44,111286,18-09-2020
162,Wipro,Cloud,QA,21,107632,19-09-2020
163,HCLTech,AI,SSE,26,33885,20-09-2020
164,Wipro,IT,PM,41,120313,21-09-2020
165,Wipro,Support,PM,39,19111,22-09-2020
166,HCLTech,Support,QA,52,62211,23-09-2020
167,Infosys,HR,SSE,36,99780,24-09-2020
168,HCLTech,Cloud,SE,53,105621,25-09-2020
169,Infosys,Sales,SE,27,15465,26-09-2020
170,TCS,Sales,BA,56,61056,27-09-2020
171,Infosys,HR,SSE,22,123406,28-09-2020
172,Wipro,Finance,SSE,53,18973,29-09-2020
173,HCLTech,Finance,PM,40,99120,30-09-2020
174,TCS,IT,DevOps,46,61881,01-10-2020
175,HCLTech,Support,DevOps,59,131338,02-10-2020
176,TCS,Finance,DS,29,15971,03-10-2020
177,Wipro,Cloud,BA,55,82977,04-10-2020
178,Wipro,Finance,SE,56,123927,05-10-2020
179,Infosys,Cloud,PM,34,41489,06-10-2020
180,HCLTech,Sales,SSE,58,85743,07-10-2020
181,TCS,Sales,PM,46,124628,08-10-2020
182,Wipro,IT,DS,26,9132,09-10-2020
183,TCS,AI,DevOps,22,21445,10-10-2020
184,HCLTech,Support,DS,58,51968,11-10-2020
185,HCLTech,HR,DevOps,22,88654,12-10-2020
186,Infosys,Sales,SE,50,74900,13-10-2020
187,Wipro,Sales,DevOps,52,61089,14-10-2020
188,Wipro,Cloud,PM,48,62261,15-10-2020
189,HCLTech,Support,QA,46,110026,16-10-2020
190,TCS,Cloud,DS,36,118163,17-10-2020
191,Infosys,Finance,QA,22,91248,18-10-2020
192,Wipro,Engineering,QA,56,51039,19-10-2020
193,HCLTech,Engineering,SE,37,28777,20-10-2020
194,Wipro,Support,BA,28,63909,21-10-2020
195,Wipro,IT,QA,54,24917,22-10-2020
196,Wipro,Cloud,PM,46,115406,23-10-2020
197,HCLTech,HR,BA,38,123597,24-10-2020
198,HCLTech,Support,SE,50,55173,25-10-2020
199,HCLTech,Finance,DevOps,30,103443,26-10-2020
200,Infosys,HR,BA,32,73649,27-10-2020
201,Infosys,Sales,SSE,44,140754,28-10-2020
202,Wipro,AI,PM,46,141698,29-10-2020
203,Wipro,IT,SE,49,146390,30-10-2020
204,Infosys,HR,DS,35,69966,31-10-2020
205,TCS,Support,QA,21,131923,01-11-2020
206,TCS,Sales,SSE,55,31052,02-11-2020
207,Wipro,Sales,QA,46,74206,03-11-2020
208,Wipro,Finance,DS,34,108760,04-11-2020
209,Infosys,Support,DevOps,24,123082,05-11-2020
210,HCLTech,Finance,PM,21,113584,06-11-2020
211,Wipro,Support,SE,59,95882,07-11-2020
212,Infosys,Engineering,PM,60,110693,08-11-2020
213,TCS,Cloud,DevOps,22,146974,09-11-2020
214,Infosys,IT,DevOps,48,90978,10-11-2020
215,Infosys,IT,BA,28,40031,11-11-2020
216,HCLTech,Engineering,PM,28,23820,12-11-2020
217,Infosys,Finance,DevOps,58,62656,13-11-2020
218,Infosys,Support,SSE,31,114257,14-11-2020
219,HCLTech,Engineering,QA,42,122403,15-11-2020
220,Wipro,HR,QA,60,137889,16-11-2020
221,TCS,Engineering,DS,47,108053,17-11-2020
222,HCLTech,Engineering,DevOps,41,41622,18-11-2020
223,TCS,Engineering,BA,30,75730,19-11-2020
224,TCS,Cloud,BA,54,54296,20-11-2020
225,Wipro,Cloud,DevOps,32,15211,21-11-2020
226,Wipro,AI,SE,50,115430,22-11-2020
227,Wipro,AI,BA,28,9571,23-11-2020
228,HCLTech,HR,SE,25,78070,24-11-2020
229,Infosys,Finance,PM,38,74512,25-11-2020
230,TCS,IT,SE,45,127886,26-11-2020
231,HCLTech,Cloud,SSE,41,113523,27-11-2020
232,Infosys,Sales,DevOps,34,147696,28-11-2020
233,Infosys,IT,PM,36,72762,29-11-2020
234,Wipro,AI,DS,36,10242,30-11-2020
235,HCLTech,Cloud,DS,59,77712,01-12-2020
236,Infosys,Finance,PM,35,35297,02-12-2020
237,HCLTech,Support,PM,27,62777,03-12-2020
238,HCLTech,Sales,QA,53,72982,04-12-2020
239,Infosys,HR,SSE,60,146093,05-12-2020
240,HCLTech,Cloud,SSE,21,58506,06-12-2020
241,Infosys,IT,DevOps,32,23276,07-12-2020
242,Infosys,AI,SE,41,93009,08-12-2020
243,Infosys,Support,SSE,57,20507,09-12-2020
244,Wipro,IT,DS,42,142792,10-12-2020
245,Infosys,HR,DevOps,53,59263,11-12-2020
246,TCS,HR,DS,39,63938,12-12-2020
247,Wipro,Support,SE,57,43528,13-12-2020
248,Wipro,IT,SSE,37,29460,14-12-2020
249,TCS,HR,SSE,51,28039,15-12-2020
250,TCS,Engineering,BA,49,102959,16-12-2020
251,TCS,Finance,BA,22,96097,17-12-2020
252,Wipro,Support,BA,28,135544,18-12-2020
253,HCLTech,Cloud,QA,32,10034,19-12-2020
254,HCLTech,Finance,BA,33,134944,20-12-2020
255,Infosys,Engineering,BA,39,56179,21-12-2020
256,HCLTech,AI,QA,24,73344,22-12-2020
257,TCS,HR,PM,53,60363,23-12-2020
258,HCLTech,Engineering,PM,48,107359,24-12-2020
259,TCS,Finance,SSE,55,64070,25-12-2020
260,TCS,AI,BA,35,102287,26-12-2020
261,Wipro,Cloud,PM,38,116003,27-12-2020
262,HCLTech,Sales,PM,54,16150,28-12-2020
263,TCS,Support,PM,46,120725,29-12-2020
264,Infosys,AI,DevOps,22,117696,30-12-2020
265,Wipro,Support,SE,57,142972,31-12-2020
266,Infosys,Cloud,DevOps,28,115135,01-01-2021
267,HCLTech,Support,SE,42,122391,02-01-2021
268,TCS,Support,PM,44,51161,03-01-2021
269,HCLTech,AI,SE,25,102006,04-01-2021
270,TCS,Finance,SSE,28,72309,05-01-2021
271,Infosys,Finance,BA,38,58357,06-01-2021
272,Infosys,Engineering,SSE,47,77759,07-01-2021
273,Wipro,HR,SE,27,115538,08-01-2021
274,Infosys,IT,DS,59,27349,09-01-2021
275,HCLTech,HR,SE,45,143335,10-01-2021
276,HCLTech,Finance,SSE,48,91895,11-01-2021
277,Wipro,Cloud,DS,37,27731,12-01-2021
278,TCS,IT,DevOps,23,61631,13-01-2021
279,Infosys,Cloud,PM,39,72920,14-01-2021
280,TCS,HR,BA,58,105968,15-01-2021
281,HCLTech,Support,BA,39,137057,16-01-2021
282,TCS,Sales,SE,24,66323,17-01-2021
283,Wipro,Finance,SE,25,20280,18-01-2021
284,Wipro,Support,SSE,53,140503,19-01-2021
285,TCS,Finance,DS,53,149112,20-01-2021
286,Wipro,Engineering,PM,24,105488,21-01-2021
287,TCS,IT,BA,27,20518,22-01-2021
288,Infosys,AI,DS,50,59629,23-01-2021
289,HCLTech,Support,DevOps,47,25462,24-01-2021
290,TCS,AI,SE,37,68223,25-01-2021
291,TCS,Support,BA,55,132391,26-01-2021
292,TCS,Cloud,SE,37,34915,27-01-2021
293,TCS,HR,DevOps,24,57019,28-01-2021
294,TCS,Support,DS,27,79498,29-01-2021
295,Infosys,IT,DevOps,46,11550,30-01-2021
296,Wipro,Sales,DevOps,30,47754,31-01-2021
297,TCS,Engineering,SE,43,122475,01-02-2021
298,Infosys,Engineering,PM,48,96152,02-02-2021
299,TCS,Support,BA,57,71422,03-02-2021
300,TCS,Support,QA,21,95170,04-02-2021
301,Wipro,HR,SSE,28,54782,05-02-2021
302,HCLTech,Engineering,SE,28,27182,06-02-2021
303,Infosys,IT,DevOps,23,146709,07-02-2021
304,Wipro,HR,DevOps,58,123462,08-02-2021
305,TCS,Support,SSE,35,42107,09-02-2021
306,HCLTech,IT,DevOps,55,128261,10-02-2021
307,TCS,Sales,SE,36,95379,11-02-2021
308,HCLTech,IT,DevOps,52,64352,12-02-2021
309,HCLTech,Finance,BA,25,70249,13-02-2021
310,HCLTech,AI,DevOps,30,62724,14-02-2021
311,HCLTech,HR,QA,58,49565,15-02-2021
312,TCS,Sales,QA,29,10411,16-02-2021
313,TCS,Engineering,QA,53,91483,17-02-2021
314,TCS,Finance,SSE,25,41372,18-02-2021
315,Wipro,IT,SE,21,69321,19-02-2021
316,Infosys,Support,QA,53,35361,20-02-2021
317,HCLTech,Support,SSE,53,129002,21-02-2021
318,TCS,Cloud,DS,43,70424,22-02-2021
319,Infosys,Support,DevOps,35,44177,23-02-2021
320,Wipro,Engineering,QA,38,81876,24-02-2021
321,HCLTech,Finance,DevOps,53,112268,25-02-2021
322,Wipro,HR,DevOps,32,32336,26-02-2021
323,HCLTech,HR,SE,33,10987,27-02-2021
324,Wipro,Support,DevOps,58,143158,28-02-2021
325,Wipro,Cloud,DS,46,149468,01-03-2021
326,HCLTech,Support,QA,32,87393,02-03-2021
327,Infosys,Sales,SSE,41,28003,03-03-2021
328,Infosys,IT,BA,42,133950,04-03-2021
329,TCS,IT,SE,36,113450,05-03-2021
330,Wipro,Cloud,PM,27,82624,06-03-2021
331,Wipro,HR,PM,30,61671,07-03-2021
332,TCS,Sales,DS,50,126282,08-03-2021
333,Wipro,HR,DS,25,141500,09-03-2021
334,Infosys,Finance,SE,57,118216,10-03-2021
335,HCLTech,Support,DS,31,107653,11-03-2021
336,Wipro,HR,BA,26,78637,12-03-2021
337,TCS,HR,DS,38,56835,13-03-2021
338,Wipro,IT,DevOps,51,74387,14-03-2021
339,TCS,IT,PM,60,102160,15-03-2021
340,Infosys,Engineering,DevOps,53,14980,16-03-2021
341,Infosys,Finance,DS,37,18551,17-03-2021
342,HCLTech,Engineering,DS,35,63695,18-03-2021
343,Infosys,HR,DevOps,27,11307,19-03-2021
344,TCS,Finance,DevOps,21,19394,20-03-2021
345,Infosys,Sales,QA,49,87214,21-03-2021
346,Infosys,Engineering,BA,53,98609,22-03-2021
347,HCLTech,AI,SE,28,115935,23-03-2021
348,HCLTech,Engineering,PM,56,94373,24-03-2021
349,HCLTech,Finance,DS,41,132589,25-03-2021
350,Wipro,IT,PM,37,19907,26-03-2021
351,Infosys,HR,BA,31,33203,27-03-2021
352,Wipro,IT,SSE,29,94348,28-03-2021
353,Wipro,Support,SE,24,76346,29-03-2021
354,TCS,Finance,SE,25,132876,30-03-2021
355,Infosys,Sales,DevOps,40,18431,31-03-2021
356,Infosys,HR,SE,57,26867,01-04-2021
357,Wipro,Finance,BA,42,46084,02-04-2021
358,TCS,Engineering,BA,46,102841,03-04-2021
359,Infosys,IT,PM,55,91624,04-04-2021
360,Infosys,IT,SE,52,87185,05-04-2021
361,Infosys,Sales,DevOps,51,119496,06-04-2021
362,HCLTech,Finance,PM,39,30511,07-04-2021
363,TCS,Cloud,BA,45,78618,08-04-2021
364,TCS,Finance,SSE,39,87681,09-04-2021
365,HCLTech,Engineering,SSE,44,41998,10-04-2021
366,Infosys,Finance,PM,27,92572,11-04-2021
367,Infosys,Cloud,DevOps,21,22619,12-04-2021
368,HCLTech,AI,SE,53,146375,13-04-2021
369,Infosys,Support,SE,43,26278,14-04-2021
370,TCS,AI,SSE,55,90190,15-04-2021
371,TCS,IT,SE,31,38308,16-04-2021
372,Infosys,HR,QA,51,79653,17-04-2021
373,Infosys,AI,PM,36,90198,18-04-2021
374,HCLTech,HR,SE,30,35763,19-04-2021
375,TCS,Finance,QA,21,97595,20-04-2021
376,HCLTech,IT,PM,35,108029,21-04-2021
377,Infosys,Cloud,BA,29,68466,22-04-2021
378,Wipro,IT,DevOps,50,86502,23-04-2021
379,TCS,Cloud,SSE,28,107124,24-04-2021
380,HCLTech,Cloud,PM,25,144311,25-04-2021
381,Infosys,Finance,QA,44,93312,26-04-2021
382,Infosys,HR,DS,60,34162,27-04-2021
383,Infosys,HR,SE,30,121158,28-04-2021
384,Wipro,AI,BA,23,48532,29-04-2021
385,HCLTech,IT,DevOps,55,112447,30-04-2021
386,Infosys,Engineering,SSE,44,68432,01-05-2021
387,Wipro,Sales,QA,53,147109,02-05-2021
388,TCS,IT,BA,58,91834,03-05-2021
389,TCS,Cloud,DevOps,37,61831,04-05-2021
390,Wipro,AI,DS,37,81433,05-05-2021
391,Wipro,Finance,QA,22,23565,06-05-2021
392,TCS,Support,BA,57,109265,07-05-2021
393,Wipro,Support,DS,41,41400,08-05-2021
394,Wipro,Finance,BA,27,48028,09-05-2021
395,TCS,Cloud,SSE,22,101973,10-05-2021
396,HCLTech,IT,SE,26,126365,11-05-2021
397,Wipro,Support,BA,50,97512,12-05-2021
398,Infosys,Sales,QA,59,110343,13-05-2021
399,Infosys,Cloud,SE,51,90171,14-05-2021
400,HCLTech,AI,QA,52,51044,15-05-2021
401,HCLTech,Sales,QA,46,119353,16-05-2021
402,TCS,AI,SSE,54,22096,17-05-2021
403,Infosys,AI,PM,57,9976,18-05-2021
404,TCS,Engineering,SSE,56,136469,19-05-2021
405,Infosys,HR,DevOps,25,70995,20-05-2021
406,HCLTech,Sales,DevOps,34,106776,21-05-2021
407,TCS,Engineering,SSE,54,148498,22-05-2021
408,Wipro,Support,DevOps,58,143210,23-05-2021
409,Infosys,IT,DevOps,34,40427,24-05-2021
410,Infosys,IT,PM,58,90526,25-05-2021
411,HCLTech,Sales,QA,32,69546,26-05-2021
412,Infosys,Support,DS,45,145893,27-05-2021
413,TCS,Finance,DS,55,69302,28-05-2021
414,HCLTech,Cloud,QA,51,146741,29-05-2021
415,Wipro,HR,DevOps,39,145305,30-05-2021
416,Wipro,Support,PM,32,143854,31-05-2021
417,Infosys,IT,QA,52,110178,01-06-2021
418,Infosys,Sales,QA,35,61663,02-06-2021
419,TCS,IT,DevOps,46,138599,03-06-2021
420,Wipro,HR,DevOps,56,85529,04-06-2021
421,Infosys,Engineering,DS,32,77260,05-06-2021
422,TCS,Finance,PM,42,45351,06-06-2021
423,TCS,Engineering,QA,31,124584,07-06-2021
424,Infosys,Support,SE,32,60932,08-06-2021
425,Wipro,Support,QA,49,98912,09-06-2021
426,HCLTech,Cloud,SSE,53,83529,10-06-2021
427,Infosys,Cloud,BA,40,96870,11-06-2021
428,TCS,AI,PM,22,90988,12-06-2021
429,Wipro,AI,BA,55,37187,13-06-2021
430,Infosys,AI,DS,29,149631,14-06-2021
431,HCLTech,Engineering,DS,25,31093,15-06-2021
432,HCLTech,Support,SSE,38,74902,16-06-2021
433,TCS,Cloud,QA,38,50431,17-06-2021
434,Infosys,AI,DevOps,26,69075,18-06-2021
435,Infosys,AI,SE,52,83417,19-06-2021
436,Infosys,Engineering,DS,46,91776,20-06-2021
437,HCLTech,AI,DS,41,113907,21-06-2021
438,HCLTech,IT,DevOps,21,80455,22-06-2021
439,HCLTech,Support,SE,21,54539,23-06-2021
440,TCS,Support,BA,50,116798,24-06-2021
441,HCLTech,Cloud,SE,34,105568,25-06-2021
442,TCS,Finance,BA,51,35506,26-06-2021
443,TCS,IT,QA,41,115848,27-06-2021
444,HCLTech,IT,PM,47,92481,28-06-2021
445,Wipro,Cloud,SSE,21,132308,29-06-2021
446,Infosys,IT,DevOps,33,34339,30-06-2021
447,Wipro,Finance,BA,59,35518,01-07-2021
448,TCS,Sales,DS,28,123579,02-07-2021
449,Wipro,Finance,DS,43,146201,03-07-2021
450,Wipro,Engineering,QA,31,80940,04-07-2021
451,Wipro,Engineering,SSE,30,125426,05-07-2021
452,Wipro,Support,SE,38,91062,06-07-2021
453,TCS,IT,QA,33,47711,07-07-2021
454,TCS,Support,DS,42,56506,08-07-2021
455,HCLTech,AI,DevOps,48,93247,09-07-2021
456,Infosys,Cloud,DevOps,51,50556,10-07-2021
457,Infosys,Support,QA,28,55528,11-07-2021
458,TCS,AI,QA,55,50105,12-07-2021
459,HCLTech,HR,PM,51,149741,13-07-2021
460,TCS,Support,DevOps,44,31037,14-07-2021
461,HCLTech,Finance,SSE,46,90092,15-07-2021
462,TCS,Cloud,SSE,31,73637,16-07-2021
463,Wipro,AI,SSE,60,65557,17-07-2021
464,Infosys,Finance,SE,23,60810,18-07-2021
465,Wipro,Engineering,DS,53,66450,19-07-2021
466,Wipro,Cloud,PM,22,121654,20-07-2021
467,TCS,Cloud,DevOps,39,73479,21-07-2021
468,Infosys,Cloud,DevOps,45,146069,22-07-2021
469,TCS,Support,BA,44,49698,23-07-2021
470,HCLTech,Sales,DevOps,27,135452,24-07-2021
471,Wipro,Sales,QA,25,29851,25-07-2021
472,TCS,Cloud,QA,37,93944,26-07-2021
473,HCLTech,Finance,BA,30,103043,27-07-2021
474,Infosys,Engineering,DevOps,45,38186,28-07-2021
475,Infosys,IT,DS,23,42747,29-07-2021
476,Infosys,Sales,DevOps,21,84319,30-07-2021
477,Infosys,Cloud,SE,58,40521,31-07-2021
478,Infosys,Engineering,SSE,59,13437,01-08-2021
479,Wipro,Cloud,SSE,51,36096,02-08-2021
480,Wipro,IT,SE,36,96856,03-08-2021
481,Wipro,Support,DS,24,16020,04-08-2021
482,HCLTech,Cloud,BA,36,121079,05-08-2021
483,Infosys,Sales,PM,22,41001,06-08-2021
484,Infosys,HR,PM,51,96109,07-08-2021
485,Infosys,Finance,QA,57,33176,08-08-2021
486,Wipro,IT,SSE,47,76202,09-08-2021
487,Wipro,Cloud,SE,51,126764,10-08-2021
488,HCLTech,AI,BA,52,60853,11-08-2021
489,TCS,Sales,SSE,47,135089,12-08-2021
490,TCS,AI,DS,35,110076,13-08-2021
491,TCS,Sales,BA,52,105133,14-08-2021
492,HCLTech,Support,SE,50,30090,15-08-2021
493,HCLTech,IT,QA,43,20080,16-08-2021
494,Wipro,Finance,PM,38,40957,17-08-2021
495,Wipro,Engineering,SE,38,34686,18-08-2021
496,Wipro,IT,SSE,48,140750,19-08-2021
497,Wipro,Support,DevOps,21,107226,20-08-2021
498,Wipro,Cloud,PM,40,78720,21-08-2021
499,Wipro,Engineering,DevOps,25,121341,22-08-2021
500,Infosys,AI,DevOps,59,32861,23-08-2021
501,HCLTech,Support,DevOps,48,22989,24-08-2021
502,TCS,Cloud,QA,34,94162,25-08-2021
503,Infosys,IT,QA,40,122301,26-08-2021
504,Wipro,Support,PM,22,10610,27-08-2021
505,Infosys,Cloud,PM,23,129140,28-08-2021
506,Infosys,Support,DevOps,56,109622,29-08-2021
507,TCS,Support,BA,53,109552,30-08-2021
508,TCS,IT,SE,50,84750,31-08-2021
509,Infosys,Cloud,QA,30,52953,01-09-2021
510,HCLTech,IT,DevOps,54,71209,02-09-2021
511,HCLTech,Support,DS,43,127423,03-09-2021
512,Wipro,Cloud,SE,50,28674,04-09-2021
513,HCLTech,Cloud,DevOps,48,14834,05-09-2021
514,TCS,Engineering,BA,30,67193,06-09-2021
515,Infosys,Cloud,QA,48,106048,07-09-2021
516,HCLTech,Support,QA,58,47798,08-09-2021
517,HCLTech,Support,QA,21,141450,09-09-2021
518,HCLTech,Sales,PM,60,61754,10-09-2021
519,TCS,Support,PM,44,46586,11-09-2021
520,Wipro,Cloud,QA,59,26099,12-09-2021
521,Wipro,Support,BA,58,130353,13-09-2021
522,Infosys,Support,DS,45,24001,14-09-2021
523,Wipro,Engineering,DevOps,39,118180,15-09-2021
524,Wipro,IT,QA,30,55473,16-09-2021
525,Infosys,Finance,DS,25,78648,17-09-2021
526,TCS,Support,SE,26,32989,18-09-2021
527,Wipro,Finance,BA,44,99312,19-09-2021
528,HCLTech,AI,SSE,37,128907,20-09-2021
529,HCLTech,IT,SSE,54,59291,21-09-2021
530,Infosys,AI,PM,21,56618,22-09-2021
531,Infosys,Cloud,SE,26,60547,23-09-2021
