Financial_ID,Company,Year,Quarter,Revenue,Profit,Employees
73,Infosys,2020,Q4,1946,1432,213356
74,Wipro,2025,Q1,5720,2157,131077
75,HCLTech,2020,Q4,5644,2350,83367
76,Infosys,2021,Q4,3651,2411,128892
77,HCLTech,2023,Q1,5778,1255,105098
78,HCLTech,2024,Q3,8418,1889,165909
79,Infosys,2023,Q4,3580,427,124392
80,Wipro,2016,Q2,5885,1000,102200
81,Infosys,2015,Q1,4811,2026,210241
82,TCS,2022,Q4,3985,1652,179598
83,HCLTech,2018,Q2,890,516,161449
84,Infosys,2017,Q4,1622,2363,115325
85,TCS,2022,Q2,8412,2255,196518
86,Wipro,2022,Q4,8105,731,244944
87,HCLTech,2022,Q3,4850,1215,186655
88,HCLTech,2025,Q2,5299,1881,70311
89,Wipro,2018,Q3,6302,1389,191597
90,TCS,2017,Q2,4588,1648,231914
91,Infosys,2026,Q2,1852,1779,156849
92,Wipro,2023,Q4,7612,335,104220
93,HCLTech,2021,Q1,7032,2033,51545
94,Wipro,2019,Q4,7665,2284,245956
95,Infosys,2022,Q2,5271,1865,177308
96,TCS,2021,Q3,7424,756,172523
97,Infosys,2024,Q1,7255,2391,223801
98,TCS,2016,Q4,3023,1971,97639
99,TCS,2019,Q4,6163,946,169196
100,Wipro,2020,Q4,5358,1806,116131
101,TCS,2022,Q1,1653,1513,108778
102,TCS,2025,Q1,1308,1092,102261
103,TCS,2024,Q2,4708,597,174141
104,TCS,2024,Q2,8419,1129,146703
105,Infosys,2024,Q1,3483,1354,78337
106,TCS,2019,Q4,7298,892,69922
107,Infosys,2016,Q3,2783,2398,60766
108,Wipro,2023,Q4,6871,362,182634
109,Wipro,2015,Q4,8831,512,163645
110,Wipro,2025,Q4,3306,1863,96173
111,Wipro,2024,Q4,8416,1864,241634
112,Wipro,2020,Q2,2219,1222,168175
113,Infosys,2022,Q4,6311,197,179579
114,Wipro,2017,Q4,4275,1533,117725
115,Wipro,2019,Q3,966,2196,100084
116,TCS,2018,Q4,8804,2354,248748
117,Infosys,2026,Q4,8841,1915,54520
118,TCS,2019,Q2,7425,1076,130270
119,Wipro,2022,Q3,7771,2334,136714
120,Wipro,2026,Q4,5238,1335,115903
121,Infosys,2016,Q2,5969,569,244741
122,Infosys,2018,Q2,8733,1212,239945
123,Wipro,2016,Q2,5653,1011,144602
124,Infosys,2019,Q1,2873,1203,61931
125,TCS,2023,Q3,2868,2090,76892
126,TCS,2024,Q3,8490,2040,165466
127,Wipro,2017,Q1,4936,2036,79907
128,TCS,2021,Q4,2013,2443,215005
129,TCS,2017,Q2,5778,428,115061
130,TCS,2023,Q4,4497,2220,149713
131,HCLTech,2022,Q3,7825,1330,199062
132,TCS,2024,Q1,4204,944,119375
133,TCS,2017,Q2,3647,2340,69677
134,Infosys,2015,Q4,8181,2004,126351
135,TCS,2018,Q3,5432,1939,68659
136,Infosys,2019,Q2,7765,550,192753
137,Infosys,2025,Q2,5152,662,68719
138,TCS,2017,Q3,5528,1878,82598
139,HCLTech,2026,Q3,7394,1195,181195
140,HCLTech,2022,Q1,1453,1849,242553
141,Wipro,2024,Q3,1223,454,110011
142,TCS,2025,Q3,1459,797,173338
143,HCLTech,2019,Q2,7941,2094,73918
144,HCLTech,2020,Q4,6260,1395,225671
145,TCS,2017,Q3,7544,2109,125554
146,HCLTech,2023,Q1,8251,440,132448
147,Wipro,2020,Q1,7422,2187,50301
148,HCLTech,2021,Q1,3873,2203,144838
149,HCLTech,2025,Q4,1645,913,120007
150,Infosys,2019,Q4,8741,577,57567
151,Infosys,2026,Q2,5891,2336,53584
152,HCLTech,2016,Q2,2658,1970,80793
153,Infosys,2022,Q3,5279,1781,176484
154,HCLTech,2018,Q4,3169,1651,99967
155,Infosys,2016,Q3,7598,1472,183100
156,Wipro,2015,Q3,5691,2484,202023
157,HCLTech,2017,Q4,8735,1493,137147
158,HCLTech,2022,Q3,3890,1058,199893
159,HCLTech,2018,Q4,1515,1383,245219
160,HCLTech,2026,Q4,7125,703,179847
161,TCS,2017,Q3,2444,1883,76138
162,HCLTech,2015,Q2,7517,712,69615
163,HCLTech,2019,Q3,7312,408,136131
164,HCLTech,2020,Q4,1388,360,111543
165,Wipro,2018,Q1,7910,483,249326
166,TCS,2022,Q2,5706,198,62056
167,Wipro,2015,Q3,6673,1615,162901
168,Infosys,2018,Q4,3750,776,95893
169,TCS,2024,Q4,4745,2118,202871
170,Infosys,2018,Q4,4961,1962,116932
171,TCS,2022,Q3,3388,382,165796
172,Wipro,2024,Q3,7751,1104,169756
173,Wipro,2018,Q4,8716,516,112182
174,HCLTech,2024,Q3,5647,1289,55751
175,HCLTech,2019,Q1,1603,2114,125024
176,Infosys,2024,Q3,4388,858,212762
177,Wipro,2025,Q2,2391,241,130984
178,HCLTech,2015,Q3,2953,449,127361
179,Wipro,2026,Q4,3677,902,84644
180,Wipro,2023,Q3,3495,1132,176313
181,Wipro,2026,Q3,2686,1998,69739
182,Infosys,2018,Q4,6792,449,153435
183,TCS,2019,Q1,8251,1589,226377
184,Wipro,2024,Q4,6886,523,226904
185,Infosys,2022,Q1,6174,986,219778
186,TCS,2025,Q4,5751,1752,80585
187,Infosys,2015,Q1,5786,2097,80440
188,TCS,2018,Q2,7167,1938,147258
189,HCLTech,2024,Q2,7597,485,178279
190,HCLTech,2019,Q1,6870,969,166230
191,HCLTech,2018,Q3,2427,1584,192728
192,Wipro,2015,Q4,5320,857,82023
193,HCLTech,2016,Q2,1149,287,137427
194,Infosys,2017,Q2,1924,2350,104305
195,Infosys,2018,Q3,3217,91,122685
196,Infosys,2017,Q3,3658,530,223292
197,TCS,2017,Q1,6669,1054,204364
198,Wipro,2015,Q2,5147,294,83228
199,HCLTech,2023,Q1,1841,2030,167512
200,Wipro,2023,Q1,8205,2143,108077
201,TCS,2026,Q3,8304,207,65945
202,HCLTech,2021,Q4,2568,2088,236751
203,HCLTech,2016,Q1,6077,687,67218
204,Infosys,2019,Q3,7040,2253,127305
205,HCLTech,2023,Q4,2424,548,221629
206,Infosys,2021,Q4,4543,1774,138848
207,HCLTech,2021,Q4,2357,1360,161873
208,Wipro,2025,Q3,6932,705,230046
209,HCLTech,2016,Q1,2198,461,163213
210,TCS,2026,Q3,2931,2358,65723
211,Wipro,2025,Q1,7530,1528,224415
212,HCLTech,2026,Q1,5512,1359,142181
213,TCS,2024,Q2,3335,2055,108784
214,TCS,2020,Q3,2682,1221,200496
215,Infosys,2021,Q1,5181,198,97294
216,Wipro,2026,Q3,6367,1517,51600
217,Infosys,2017,Q4,1940,661,244240
218,TCS,2016,Q2,6963,1799,168920
219,Wipro,2017,Q3,5905,1408,198791
220,TCS,2015,Q2,3379,283,226676
221,TCS,2019,Q4,7747,2069,209141
222,HCLTech,2021,Q3,4331,2178,79836
223,Wipro,2021,Q1,5440,2073,188132
224,Wipro,2015,Q2,7275,304,52015
225,Infosys,2019,Q2,3048,1126,125876
226,Wipro,2016,Q1,8949,1843,96057
227,Infosys,2021,Q2,8996,2368,225124
228,Wipro,2016,Q4,1493,1866,54912
229,HCLTech,2016,Q3,7833,2428,156017
230,HCLTech,2019,Q1,7436,165,135136
231,Infosys,2024,Q4,6728,440,164481
232,TCS,2018,Q4,7360,2226,70616
233,HCLTech,2019,Q3,4430,1444,94074
234,TCS,2023,Q1,3976,1511,142038
235,Infosys,2018,Q1,3199,1128,101713
236,Infosys,2024,Q2,2034,805,214613
237,HCLTech,2022,Q4,6095,1374,89572
238,HCLTech,2016,Q4,8045,1320,122004
239,TCS,2020,Q1,5885,1971,168466
240,TCS,2015,Q3,5503,394,218995
241,TCS,2024,Q4,8381,2457,195310
242,TCS,2022,Q2,6067,2028,181430
243,Infosys,2015,Q4,2495,1486,237253
244,TCS,2023,Q2,1441,1094,235498
245,HCLTech,2022,Q2,6762,1607,124158
246,HCLTech,2021,Q3,1657,1450,67278
247,Wipro,2016,Q4,5455,1112,239722
248,Infosys,2020,Q1,3117,1512,131325
249,HCLTech,2017,Q1,5872,2369,148744
250,Wipro,2017,Q1,7737,2162,144851
251,TCS,2020,Q3,3753,957,139583
252,HCLTech,2018,Q2,3053,714,70228
253,Wipro,2016,Q1,6317,616,206564
254,HCLTech,2017,Q2,3762,758,239053
255,HCLTech,2015,Q4,6768,1052,166444
256,Wipro,2026,Q4,4633,2267,112696
257,Wipro,2022,Q2,6826,2416,165499
258,HCLTech,2019,Q4,7659,743,102349
259,Infosys,2019,Q1,8673,1600,195369
260,TCS,2026,Q1,5470,423,92024
261,Wipro,2022,Q2,7967,455,108205
262,HCLTech,2020,Q1,7597,298,153928
263,Wipro,2018,Q4,2137,1615,108861
264,TCS,2020,Q1,6293,678,86070
265,TCS,2019,Q4,3073,2001,167598
266,TCS,2016,Q1,4993,963,89195
267,HCLTech,2016,Q3,4693,1313,81941
268,TCS,2018,Q4,8289,337,79060
269,HCLTech,2024,Q1,4763,668,126355
270,HCLTech,2015,Q3,4741,2417,159200
271,Infosys,2025,Q1,6708,357,187903
272,TCS,2021,Q4,1513,1664,147858
273,Wipro,2026,Q1,6650,356,140387
274,Infosys,2026,Q1,6247,626,61622
275,Wipro,2023,Q3,3668,1983,232292
276,HCLTech,2025,Q2,3009,338,237706
277,HCLTech,2015,Q3,4102,259,102289
278,TCS,2020,Q3,7324,2304,174098
279,Wipro,2015,Q2,5487,1542,62531
280,Wipro,2019,Q1,6829,1869,154863
281,HCLTech,2021,Q3,3860,2112,231421
282,HCLTech,2020,Q3,2153,1818,70690
283,HCLTech,2024,Q2,5613,1395,76895
284,TCS,2020,Q3,5821,1906,207973
285,HCLTech,2017,Q4,6559,1911,61103
286,Wipro,2024,Q4,5298,314,69671
287,HCLTech,2020,Q2,1310,664,209271
288,HCLTech,2015,Q2,1901,1046,219125
289,Wipro,2020,Q4,1330,708,228012
290,HCLTech,2020,Q3,8073,394,200450
291,Infosys,2023,Q3,7321,1367,220278
292,Wipro,2018,Q1,1224,842,180821
293,HCLTech,2023,Q1,5088,1146,234559
294,HCLTech,2018,Q3,8847,899,82148
295,Infosys,2016,Q4,3628,1903,73013
296,Wipro,2025,Q3,1863,2332,192126
297,Wipro,2019,Q2,3652,1560,183367
298,Infosys,2016,Q2,3075,1049,179504
299,TCS,2020,Q3,8457,2339,84018
300,TCS,2016,Q3,7323,2040,187807
301,HCLTech,2021,Q1,2853,1378,218385
302,TCS,2022,Q4,6444,605,194520
303,Infosys,2017,Q4,1707,588,185817
304,Infosys,2019,Q2,3453,1401,235947
305,Infosys,2020,Q3,2092,1106,101459
306,Wipro,2017,Q3,2330,2138,218031
307,Infosys,2024,Q2,3604,1462,197749
308,TCS,2015,Q1,1544,2442,119377
309,Infosys,2024,Q4,1296,2119,214407
310,Wipro,2025,Q3,8712,1083,229566
311,HCLTech,2019,Q4,1995,325,91439
312,HCLTech,2021,Q4,8409,915,139179
313,Infosys,2020,Q3,6458,1713,84279
314,Wipro,2023,Q1,6028,1070,172282
315,TCS,2019,Q4,4861,657,75378
316,TCS,2019,Q4,7650,1096,91864
317,Wipro,2024,Q3,3910,732,180617
318,HCLTech,2022,Q3,8948,174,73605
319,HCLTech,2023,Q4,4744,961,202920
320,Wipro,2015,Q1,5409,2107,206635
321,HCLTech,2019,Q1,2561,1845,85110
322,Wipro,2026,Q3,7406,1578,61860
323,HCLTech,2015,Q2,6739,2346,125655
324,TCS,2021,Q4,5382,566,83728
325,TCS,2021,Q3,6355,2364,145841
326,Infosys,2018,Q4,8993,244,61876
327,TCS,2017,Q3,8561,2207,169796
328,Infosys,2024,Q2,6173,1384,92598
329,HCLTech,2024,Q3,6311,2157,183618
330,HCLTech,2026,Q3,8580,148,146562
331,Wipro,2025,Q1,7624,2470,130655
332,TCS,2024,Q4,5150,2449,201423
333,Infosys,2026,Q1,8671,778,187424
334,HCLTech,2017,Q2,1317,2425,233637
335,TCS,2018,Q1,8025,1364,159780
336,Infosys,2021,Q2,7523,2135,210295
337,HCLTech,2026,Q1,3062,2204,104353
338,Wipro,2025,Q4,6973,1365,95398
339,HCLTech,2023,Q3,6604,1162,209927
340,HCLTech,2018,Q2,5371,2365,128249
341,Infosys,2019,Q3,4196,2082,133110
342,HCLTech,2020,Q3,5515,579,200333
343,HCLTech,2021,Q3,3199,1269,61027
344,Wipro,2026,Q1,6474,1891,221959
345,Wipro,2026,Q4,4305,907,191184
346,Wipro,2023,Q3,3049,527,211396
347,Infosys,2018,Q1,4497,1033,63760
348,TCS,2021,Q3,8539,491,228570
349,Infosys,2015,Q2,7466,2028,175160
350,Infosys,2019,Q3,5476,322,73451
351,Infosys,2023,Q1,3668,1791,96081
352,TCS,2021,Q4,3852,1265,59821
353,TCS,2019,Q1,6289,1245,169104
354,HCLTech,2017,Q4,5270,869,79529
355,Wipro,2017,Q4,5015,842,53692
356,Wipro,2019,Q2,3675,1740,162119
357,Wipro,2016,Q4,2362,836,86860
358,HCLTech,2020,Q2,911,1148,150551
359,Infosys,2022,Q3,6200,1316,202688
360,TCS,2019,Q3,4671,334,225056
361,TCS,2022,Q3,3416,1740,229850
362,Wipro,2026,Q1,5633,1585,211120
363,Infosys,2018,Q2,8634,707,169269
364,Wipro,2021,Q4,4378,1093,228347
365,TCS,2023,Q4,6727,399,197893
366,TCS,2015,Q2,3255,753,136014
367,HCLTech,2016,Q2,8808,452,183791
368,HCLTech,2015,Q4,2961,2182,158901
369,HCLTech,2024,Q1,8375,1342,239603
370,TCS,2021,Q3,849,972,201600
371,TCS,2015,Q4,6444,341,191862
372,TCS,2016,Q4,1319,1255,157182
373,Infosys,2017,Q4,6935,1646,167581
374,HCLTech,2021,Q1,2978,1504,81098
375,Infosys,2023,Q4,2886,992,50910
376,TCS,2019,Q4,7748,2258,149425
377,Infosys,2018,Q4,6471,715,122259
378,Infosys,2026,Q1,1327,1797,211198
379,TCS,2018,Q2,1902,493,205698
380,TCS,2022,Q1,4809,261,155451
381,HCLTech,2018,Q2,1724,653,182093
382,Wipro,2018,Q3,6053,1050,129105
383,Infosys,2025,Q2,7575,1310,122129
384,TCS,2023,Q2,7799,2356,179924
385,TCS,2020,Q4,6022,1785,157022
386,Infosys,2019,Q4,3812,2283,174130
387,Infosys,2018,Q3,3165,1976,65105
388,HCLTech,2021,Q2,7163,1074,116845
389,Infosys,2020,Q1,8169,1599,74238
390,Infosys,2015,Q3,6979,241,69079
391,Infosys,2024,Q2,8654,935,137284
392,Wipro,2015,Q2,3913,560,245789
393,HCLTech,2018,Q2,7298,1060,194724
394,Wipro,2019,Q4,8439,2265,220058
395,Wipro,2019,Q3,6692,2180,180358
396,HCLTech,2016,Q4,6046,912,147178
397,Wipro,2021,Q1,4425,677,54251
398,Wipro,2023,Q4,5636,704,101430
399,Wipro,2018,Q4,4826,2125,194347
400,Wipro,2019,Q4,8837,1967,94101
401,Wipro,2017,Q2,8800,833,192117
402,TCS,2023,Q1,2017,278,51673
403,HCLTech,2017,Q2,1913,698,52396
404,Infosys,2023,Q4,6914,327,211961
405,HCLTech,2025,Q4,1057,107,189516
406,HCLTech,2015,Q1,5301,2274,125153
407,TCS,2023,Q4,3737,518,75248
408,Infosys,2018,Q2,4935,1531,120077
409,HCLTech,2016,Q3,7452,1960,198111
410,Infosys,2026,Q2,5714,410,221372
411,TCS,2016,Q4,7013,1624,194887
412,HCLTech,2015,Q1,3607,418,181034
413,HCLTech,2025,Q3,2362,2243,61154
414,Infosys,2018,Q4,5241,270,69489
415,Wipro,2023,Q1,3738,1368,54104
416,Infosys,2024,Q2,7325,395,128453
417,Infosys,2024,Q2,7175,2294,136960
418,HCLTech,2026,Q2,2084,2131,245416
419,Wipro,2015,Q1,7961,1030,69927
420,Wipro,2024,Q4,6147,201,216231
421,Wipro,2022,Q4,4537,1537,194975
422,HCLTech,2021,Q2,7027,431,212166
423,Wipro,2018,Q1,2144,1177,90428
424,HCLTech,2026,Q2,7183,1377,144555
425,TCS,2016,Q1,5850,1901,144350
426,Wipro,2016,Q2,2230,847,162978
427,HCLTech,2023,Q4,2492,187,73493
428,Wipro,2023,Q1,6115,1657,53235
429,Wipro,2021,Q4,2187,2371,113633
430,Infosys,2025,Q4,3577,648,120495
431,Wipro,2019,Q4,3190,339,93832
432,HCLTech,2019,Q4,5711,2063,70164
433,Wipro,2019,Q2,8923,880,170025
434,TCS,2017,Q3,910,1700,137088
435,HCLTech,2020,Q4,6284,1843,220665
436,Infosys,2019,Q3,4090,2042,132361
437,Infosys,2021,Q3,5575,2091,200963
438,Infosys,2020,Q4,5392,1689,145686
439,TCS,2024,Q2,3747,2333,57055
440,HCLTech,2026,Q2,7983,1273,231622
441,TCS,2021,Q4,3080,1320,113444
442,Wipro,2025,Q2,7732,1624,69389
443,HCLTech,2024,Q4,7366,2268,182805
444,HCLTech,2023,Q1,6690,2279,205666
445,TCS,2016,Q2,6616,761,219607
446,TCS,2024,Q4,6232,1843,77772
447,TCS,2016,Q3,4437,2171,245783
448,Infosys,2022,Q3,7208,1976,228141
449,Infosys,2020,Q1,8709,508,127445
450,HCLTech,2016,Q1,3121,1506,131760
451,Wipro,2022,Q2,8712,1506,174823
452,TCS,2022,Q4,6025,355,128712
453,TCS,2026,Q1,1170,1485,219861
454,TCS,2025,Q2,4796,2193,95731
455,Infosys,2020,Q4,8370,1029,156180
456,Infosys,2017,Q4,7281,199,243301
457,Infosys,2022,Q4,7170,98,234742
458,Infosys,2018,Q3,1825,2444,76673
459,Infosys,2020,Q3,4028,1954,79872
460,Wipro,2025,Q4,5934,1671,210250
461,HCLTech,2024,Q1,6500,1521,170025
462,Infosys,2025,Q3,2188,628,132099
463,TCS,2018,Q3,2716,829,147859
464,Infosys,2023,Q4,7652,644,200681
465,HCLTech,2021,Q2,8773,2281,231779
466,Infosys,2023,Q2,8822,1263,86777
467,Infosys,2020,Q4,1678,1550,52512
468,HCLTech,2017,Q2,7090,2380,182497
469,HCLTech,2021,Q4,7609,1898,178109
470,Infosys,2016,Q1,4413,1276,58570
471,Wipro,2018,Q3,3555,1953,198281
472,HCLTech,2023,Q1,2671,1177,192372
473,Wipro,2023,Q1,8031,2317,107289
474,HCLTech,2016,Q2,5677,212,167894
475,Wipro,2020,Q1,7993,560,112113
476,Infosys,2026,Q3,7815,759,211520
477,Infosys,2018,Q2,1772,2415,141964
478,Wipro,2024,Q2,6102,1278,125846
479,Wipro,2023,Q1,3021,1765,65541
480,Wipro,2025,Q2,2974,1102,88336
481,Wipro,2018,Q4,8819,662,201368
482,Wipro,2025,Q4,6946,1931,69796
483,TCS,2021,Q3,6846,1942,177937
484,Wipro,2024,Q1,2326,1957,216419
485,Wipro,2016,Q4,4368,1839,105535
486,HCLTech,2019,Q3,5446,1463,193474
487,Infosys,2024,Q4,6431,278,62043
488,TCS,2025,Q4,1066,588,91414
489,HCLTech,2022,Q1,7809,908,230510
490,Infosys,2025,Q3,3404,1202,74468
491,Wipro,2019,Q1,6892,757,63575
492,HCLTech,2025,Q3,4636,1838,221831
493,TCS,2026,Q1,817,954,174992
494,TCS,2017,Q2,8091,118,52113
495,Wipro,2016,Q4,2965,2036,68567
496,Infosys,2021,Q1,2478,502,132143
497,Wipro,2019,Q2,7070,625,218185
498,Infosys,2016,Q1,3488,1882,142061
499,Infosys,2025,Q2,7545,1892,106949
500,TCS,2016,Q2,2817,2494,241367
501,HCLTech,2020,Q4,5952,652,114955
502,Wipro,2025,Q1,4865,2346,207548
503,Wipro,2026,Q1,5742,921,185724
504,Infosys,2026,Q4,5642,303,112741
505,HCLTech,2021,Q1,4749,2126,217269
506,TCS,2023,Q1,6716,1376,84598
507,HCLTech,2024,Q4,6786,2317,229029
508,Infosys,2022,Q1,1073,2485,67703
509,TCS,2019,Q2,1452,327,154326
510,Wipro,2025,Q4,7739,1727,71607
511,Infosys,2019,Q1,5877,403,184035
512,Infosys,2017,Q3,7201,2482,216276
513,TCS,2019,Q4,4709,317,114088
514,TCS,2021,Q1,8228,305,131078
515,Infosys,2016,Q1,3048,126,92947
516,HCLTech,2020,Q3,3535,1603,83274
517,Wipro,2026,Q1,1280,1452,162544
518,Wipro,2023,Q1,5108,2441,214503
519,TCS,2022,Q4,6700,307,180969
520,Infosys,2020,Q2,4979,501,200447
521,TCS,2018,Q1,1521,130,114107
522,TCS,2022,Q3,7074,694,96913
523,TCS,2023,Q4,4478,1398,115080
524,HCLTech,2026,Q3,5244,399,199824
525,Wipro,2016,Q1,3738,994,185207
526,TCS,2021,Q1,8420,1236,131447
527,Wipro,2016,Q4,930,1591,102604
528,Wipro,2024,Q3,4774,1980,146540
529,HCLTech,2018,Q2,3266,106,157488
530,TCS,2018,Q3,957,1452,50383
531,HCLTech,2026,Q3,2503,920,188887
532,Infosys,2021,Q4,1781,663,236555
533,Wipro,2016,Q1,4592,2208,158280
534,Wipro,2022,Q1,2365,2150,84999
535,HCLTech,2016,Q1,7926,615,112068
536,Wipro,2019,Q3,7238,1416,133376
537,HCLTech,2019,Q2,2023,910,85680
538,TCS,2017,Q1,3493,1921,172173
539,Wipro,2021,Q1,6670,930,168467
540,Wipro,2022,Q3,2764,450,91317
541,Wipro,2026,Q1,4322,1422,88882
542,TCS,2026,Q2,6628,1703,184600
543,TCS,2025,Q3,5062,792,58147
544,HCLTech,2022,Q2,2351,1972,76714
545,Infosys,2016,Q1,1810,990,84266
546,Infosys,2021,Q3,2176,2465,203647
547,Wipro,2016,Q1,1856,889,219341
548,HCLTech,2017,Q1,6232,581,61192
549,HCLTech,2015,Q2,7896,1697,180056
550,TCS,2021,Q4,3631,1529,106286
551,Infosys,2019,Q3,8107,688,59083
552,Infosys,2025,Q3,8973,1767,194359
553,HCLTech,2015,Q1,5383,1648,85975
554,HCLTech,2018,Q2,1119,1646,237005
555,Wipro,2022,Q4,6436,2396,181699
556,Wipro,2021,Q3,3746,186,133591
557,Infosys,2015,Q3,1759,2012,188787
558,Wipro,2024,Q2,3415,490,114974
559,Infosys,2019,Q1,4394,2438,151822
560,Wipro,2017,Q2,4675,1382,243489
561,Wipro,2024,Q1,6561,2405,197746
562,Infosys,2024,Q2,8864,2300,131016
563,Infosys,2022,Q1,2278,310,110980
564,Infosys,2015,Q4,811,1438,210991
565,Infosys,2017,Q3,3707,1405,65612
566,TCS,2017,Q2,2617,2235,145653
567,TCS,2020,Q4,2455,1458,129105
568,Wipro,2017,Q2,7957,2075,220178
569,Wipro,2017,Q3,4457,2492,95967
570,HCLTech,2019,Q3,2886,807,241058
571,TCS,2026,Q4,1330,825,207912
572,Wipro,2024,Q2,2505,2112,86868
573,Wipro,2026,Q1,4699,1500,133759
574,Infosys,2025,Q1,6300,1909,52987
575,Wipro,2018,Q2,1910,1515,117281
576,TCS,2026,Q1,1588,1660,164876
577,HCLTech,2017,Q4,8878,1631,142073
578,HCLTech,2016,Q4,4495,746,168302
579,TCS,2015,Q3,1128,1385,118453
580,TCS,2016,Q3,3587,1617,92180
581,TCS,2023,Q1,6336,2057,234681
582,TCS,2021,Q2,7913,723,64039
583,TCS,2020,Q2,3912,1756,232765
584,Wipro,2025,Q3,5672,1052,75143
585,TCS,2021,Q4,3316,303,144589
586,TCS,2021,Q1,5625,2047,102343
587,TCS,2015,Q2,3598,1275,71479
588,HCLTech,2016,Q3,7312,2008,178213
589,Wipro,2016,Q4,3829,1599,149993
590,Wipro,2017,Q4,1531,1158,165275
591,HCLTech,2019,Q2,5200,2391,66158
592,Infosys,2026,Q1,2204,1488,191937
593,HCLTech,2024,Q2,1799,1665,186991
594,HCLTech,2023,Q4,4660,2030,128342
595,TCS,2021,Q1,3215,572,248492
596,HCLTech,2017,Q2,4271,869,83078
597,TCS,2021,Q1,7933,907,214423
598,Infosys,2024,Q3,6038,354,72813
599,HCLTech,2023,Q4,6143,1211,186233
600,HCLTech,2015,Q4,2643,1777,89227
601,Infosys,2024,Q1,2530,2384,76474
602,Wipro,2023,Q3,7532,1161,150412
603,HCLTech,2024,Q4,1413,785,122198
604,HCLTech,2017,Q4,1435,1701,136899
605,Infosys,2015,Q4,5200,1605,55303
606,Wipro,2019,Q3,5393,2093,232500
607,TCS,2018,Q2,5723,1894,134113
608,Wipro,2026,Q4,2262,849,165793
609,Infosys,2021,Q4,6926,310,185074
610,Infosys,2016,Q3,7409,635,187438
611,TCS,2017,Q2,4088,316,115402
612,TCS,2022,Q1,6704,895,121821
613,Wipro,2022,Q4,2829,205,113422
614,Wipro,2022,Q4,3709,2023,203847
615,Wipro,2020,Q2,5037,450,124729
