Project_ID,Company,Client_ID,Employee_ID,Technology,Budget,Status
53,HCLTech,33883,167383,AWS,2668504,In Progress
54,TCS,28077,52784,AWS,8014743,In Progress
55,Wipro,67938,243992,Java,7875632,In Progress
56,HCLTech,81554,149626,AWS,6797675,In Progress
57,Wipro,49578,159728,GCP,395327,On Hold
58,HCLTech,91842,79569,SAP,3126668,On Hold
59,TCS,44820,76276,GCP,3174300,Completed
60,HCLTech,66960,190984,GCP,1684584,Completed
61,HCLTech,13163,69619,Python,5344112,On Hold
62,TCS,38647,63938,SAP,6833620,Completed
63,Infosys,119456,205006,GCP,7457300,Completed
64,TCS,53228,195510,AWS,82898,In Progress
65,TCS,60528,214815,Python,2453433,In Progress
66,Wipro,96293,27526,AWS,7300324,On Hold
67,HCLTech,15421,22769,Java,622324,Completed
68,HCLTech,58195,242441,Java,9509195,On Hold
69,TCS,8349,116603,GCP,4568518,On Hold
70,HCLTech,2748,28261,SAP,4990676,On Hold
71,HCLTech,31647,35890,Azure,2025648,Completed
72,Wipro,49380,35161,SAP,542504,Completed
73,HCLTech,108323,179662,Azure,4252740,On Hold
74,TCS,39349,172794,AWS,9199103,On Hold
75,TCS,60212,230259,GCP,5231201,On Hold
76,HCLTech,101366,124423,Python,5514216,Completed
77,TCS,18077,244951,AWS,2988466,Completed
78,Infosys,103575,51121,Python,4674798,In Progress
79,TCS,24242,227160,GCP,2935539,Completed
80,TCS,68161,220587,Python,7262902,Completed
81,Infosys,25687,226489,GCP,3056800,On Hold
82,TCS,23325,96984,Python,3284222,On Hold
83,Infosys,85075,242996,GCP,9996249,Completed
84,Wipro,80290,230338,Java,4401399,Completed
85,HCLTech,55793,187164,Python,4306965,Completed
86,HCLTech,98775,49536,SAP,7969099,On Hold
87,Wipro,113191,35110,GCP,1632060,In Progress
88,Wipro,85604,126773,Java,8975561,Completed
89,HCLTech,9697,175307,Azure,209375,In Progress
90,TCS,57089,113377,SAP,3448103,Completed
91,Wipro,55610,53384,Python,9902762,In Progress
92,TCS,47437,72391,AWS,972736,On Hold
93,Infosys,71852,184249,Python,6371927,In Progress
94,HCLTech,51776,157364,AWS,2564079,On Hold
95,Infosys,24916,111262,Java,3087062,On Hold
96,Wipro,118988,59747,Azure,6997655,On Hold
97,Infosys,93850,43155,GCP,1423185,Completed
98,Infosys,71620,114675,Java,3478100,In Progress
99,TCS,4828,181504,Azure,1734391,In Progress
100,TCS,43218,158608,AWS,605709,On Hold
101,HCLTech,40670,49745,AWS,8415759,In Progress
102,Infosys,35679,4639,Azure,1565998,On Hold
103,HCLTech,88786,44943,Java,6227107,In Progress
104,TCS,90888,29325,Azure,1689960,Completed
105,HCLTech,109089,83009,Azure,8051339,In Progress
106,TCS,57944,76800,GCP,6543031,On Hold
107,HCLTech,53099,123055,Azure,5533194,On Hold
108,TCS,93460,199323,SAP,9499392,Completed
109,TCS,28773,43223,Python,1414553,On Hold
110,TCS,72901,57615,SAP,7791852,On Hold
111,Infosys,108791,167508,GCP,5290551,On Hold
112,Wipro,35692,47953,Python,3785522,On Hold
113,Wipro,117977,237302,Java,9790870,Completed
114,TCS,117864,14094,GCP,8231102,Completed
115,Wipro,91289,55412,GCP,9846341,On Hold
116,Infosys,102134,178795,GCP,5537251,In Progress
117,Wipro,59695,192667,AWS,4416879,On Hold
118,HCLTech,65366,15845,SAP,3898581,Completed
119,Infosys,2590,33936,GCP,8931761,Completed
120,Wipro,115554,43088,GCP,6448277,In Progress
121,Wipro,12996,119826,Java,1432010,In Progress
122,Wipro,10607,14950,Python,4695497,Completed
123,TCS,56173,96935,SAP,4264297,Completed
124,HCLTech,18818,40113,Java,3057660,Completed
125,HCLTech,64901,188744,Python,4984887,In Progress
126,Wipro,104229,6192,Python,6480222,On Hold
127,TCS,85441,223914,SAP,9258654,In Progress
128,Infosys,36172,233209,AWS,6443090,In Progress
129,Wipro,94619,74923,Azure,9528068,In Progress
130,Wipro,99814,181607,GCP,8062687,On Hold
131,Wipro,58820,176884,Java,7747315,In Progress
132,Wipro,42784,159244,SAP,7711737,In Progress
133,HCLTech,23327,26200,SAP,7424557,On Hold
134,Wipro,14012,139255,SAP,9967808,On Hold
135,HCLTech,65578,106943,Python,5380685,Completed
136,Wipro,114804,99651,AWS,9204152,Completed
137,TCS,91997,144204,Java,7758371,On Hold
138,TCS,24530,106171,GCP,1124734,In Progress
139,HCLTech,36059,133797,Java,3893590,Completed
140,Infosys,65961,101084,Java,7633208,Completed
141,Infosys,92738,29982,AWS,5283187,Completed
142,Wipro,85285,134994,Azure,1779812,In Progress
143,TCS,104796,95926,AWS,8471458,On Hold
144,Infosys,101790,6954,AWS,7342132,In Progress
145,Infosys,86387,143948,Azure,2589676,On Hold
146,Infosys,40518,138326,Python,1218913,On Hold
147,TCS,101002,169265,GCP,186959,Completed
148,Infosys,91503,6452,GCP,8887770,In Progress
149,Wipro,75658,4335,Python,7028988,In Progress
150,Wipro,76623,231446,Java,8090625,In Progress
151,TCS,77456,15410,SAP,6344074,On Hold
152,TCS,56415,161447,GCP,6730337,On Hold
153,TCS,58648,163864,GCP,8897496,In Progress
154,Wipro,86451,235802,Java,826502,Completed
155,TCS,15467,169637,AWS,5261340,In Progress
156,HCLTech,98540,11035,Java,4295428,In Progress
157,Infosys,41339,114237,Java,4250160,On Hold
158,Infosys,32544,235535,AWS,4132376,In Progress
159,Infosys,22159,95328,Python,4426652,In Progress
160,Wipro,56950,29713,Python,6897701,On Hold
161,TCS,72008,146539,Python,2838970,Completed
162,HCLTech,91776,126583,AWS,8129691,Completed
163,Wipro,70331,245557,AWS,2904968,On Hold
164,Infosys,7513,179474,Java,4990890,On Hold
165,HCLTech,69122,6836,Python,6853987,Completed
166,Infosys,73199,173798,SAP,6433743,On Hold
167,Infosys,25229,787,Azure,6930380,Completed
168,Wipro,29546,145118,Python,5515871,In Progress
169,HCLTech,64503,45687,GCP,9013932,On Hold
170,TCS,94994,175495,Python,8976316,On Hold
171,Infosys,33833,114367,Azure,8519393,Completed
172,Wipro,38970,204000,AWS,7562289,Completed
173,Infosys,39245,240714,Java,2610936,Completed
174,Infosys,3028,227997,Python,2303200,In Progress
175,HCLTech,26795,67667,Azure,1953641,In Progress
176,HCLTech,99647,155037,SAP,2985945,Completed
177,Infosys,48855,154706,GCP,618266,Completed
178,Infosys,24231,126670,GCP,7682344,On Hold
179,Wipro,46331,32058,Azure,2264135,In Progress
180,Wipro,62558,24795,Azure,7493998,On Hold
181,TCS,74248,199359,SAP,5128199,On Hold
182,TCS,89674,16028,Azure,2529593,On Hold
183,HCLTech,40023,36896,GCP,9267506,In Progress
184,HCLTech,13205,78740,Azure,1468890,In Progress
185,TCS,3532,19043,AWS,9151840,Completed
186,TCS,7619,92232,SAP,6874725,Completed
187,HCLTech,106608,11656,Java,2850875,Completed
188,TCS,98294,70983,GCP,627553,On Hold
189,TCS,96816,90378,SAP,4049974,On Hold
190,Wipro,48246,22267,AWS,9872941,On Hold
191,Wipro,119019,62072,SAP,1633752,Completed
192,Infosys,58943,189761,Azure,6467980,On Hold
193,Wipro,65208,153768,Azure,4899029,Completed
194,Wipro,105265,142136,SAP,1642094,Completed
195,HCLTech,57807,147001,Python,5501763,On Hold
196,Infosys,49962,45397,AWS,9221654,Completed
197,Wipro,92101,181607,Python,1957139,On Hold
198,HCLTech,31672,65402,Python,2035455,In Progress
199,Wipro,1339,184308,GCP,1825723,Completed
200,TCS,40611,157484,Azure,4098751,On Hold
201,Wipro,50946,138874,Azure,3329827,Completed
202,Infosys,39039,122900,Java,9492988,Completed
203,TCS,82623,174346,SAP,6419346,On Hold
204,HCLTech,51702,213256,SAP,4757272,Completed
205,HCLTech,13577,219026,Python,9987509,On Hold
206,TCS,61756,14922,Azure,1865702,Completed
207,Infosys,66217,239587,AWS,8162494,Completed
208,TCS,108362,72233,Azure,3380464,In Progress
209,HCLTech,68929,138771,Java,6214802,In Progress
210,HCLTech,112184,123011,GCP,8031444,Completed
211,Wipro,51869,147912,GCP,4405085,Completed
212,TCS,113614,60498,AWS,5524419,In Progress
213,TCS,41013,86665,Python,389370,On Hold
214,Wipro,97742,147407,GCP,8091861,Completed
215,Wipro,98014,77357,Azure,7499779,In Progress
216,Infosys,36186,237591,Python,6929659,In Progress
217,HCLTech,57041,194274,Java,4598968,Completed
218,TCS,10513,37590,GCP,3561287,On Hold
219,TCS,74165,126794,Python,4502034,In Progress
220,Wipro,83077,169545,GCP,463089,In Progress
221,Infosys,98394,212746,AWS,6242988,On Hold
222,Infosys,8187,30636,Java,6102910,Completed
223,Wipro,67540,181461,Python,8630931,On Hold
224,HCLTech,89270,138962,SAP,3603375,On Hold
225,TCS,43954,74392,AWS,9189128,On Hold
226,TCS,58052,117544,GCP,8700925,In Progress
227,HCLTech,31621,153594,Azure,346266,On Hold
228,Infosys,7865,13100,Azure,9507762,On Hold
229,TCS,11867,171869,Python,9467008,In Progress
230,Wipro,119393,199398,GCP,1600423,In Progress
231,HCLTech,41270,62789,AWS,125046,On Hold
232,TCS,107466,106712,Python,5238509,In Progress
233,Infosys,119143,198994,SAP,7412548,On Hold
234,HCLTech,14557,33922,SAP,9483208,In Progress
235,Infosys,34944,98837,Java,6361501,Completed
236,Wipro,112848,152289,GCP,7051690,On Hold
237,HCLTech,36374,186241,Azure,3436443,On Hold
238,TCS,93379,35322,Python,4757422,On Hold
239,Infosys,82805,154391,GCP,7796002,On Hold
240,HCLTech,109300,120307,SAP,3401049,Completed
241,TCS,112743,7226,Azure,8620330,In Progress
242,TCS,97014,170953,AWS,1102988,On Hold
243,HCLTech,30335,181520,SAP,4006609,In Progress
244,Infosys,19177,158018,Azure,5326895,On Hold
245,Infosys,90258,71449,GCP,768465,On Hold
246,Infosys,55684,231875,Python,8588814,On Hold
247,HCLTech,103264,136262,SAP,4851724,On Hold
248,HCLTech,45660,80927,Java,9459129,In Progress
249,Wipro,3027,65063,Python,2923363,Completed
250,Infosys,74513,31505,AWS,569696,In Progress
251,Wipro,111669,217384,Python,8515405,Completed
252,HCLTech,117196,26944,SAP,9089583,In Progress
253,Wipro,20480,182550,Azure,4672128,On Hold
254,Infosys,27029,122472,SAP,2622636,Completed
255,Infosys,86158,63012,GCP,8546037,In Progress
256,Wipro,78353,223594,SAP,6583885,On Hold
257,TCS,76142,19753,Java,8566399,In Progress
258,TCS,8394,110975,Python,680622,In Progress
259,HCLTech,17923,119792,AWS,3079195,On Hold
260,HCLTech,113364,180810,Java,7287523,Completed
261,TCS,48141,170883,Java,8054754,Completed
262,Wipro,1974,111694,Java,294091,Completed
263,Infosys,40207,118099,SAP,2904828,Completed
264,HCLTech,76833,176358,SAP,3346899,On Hold
265,TCS,7955,164436,Azure,7990666,Completed
266,Infosys,9971,37816,GCP,1104130,Completed
267,TCS,86874,132553,Azure,4636800,On Hold
268,Wipro,16882,109944,Java,9251684,Completed
269,Wipro,58960,182427,Java,5967962,In Progress
270,Wipro,111666,60164,Python,7223831,Completed
271,HCLTech,39873,249136,Azure,4259361,In Progress
272,HCLTech,55377,84321,Python,1629792,In Progress
273,Wipro,18818,170794,Azure,4928779,Completed
274,TCS,69923,220553,Azure,1472946,In Progress
275,TCS,26154,135240,GCP,6037538,Completed
276,Wipro,12754,220767,Azure,9120996,On Hold
277,Wipro,82845,64151,Java,1373253,Completed
278,HCLTech,85455,249561,Java,4510950,On Hold
279,TCS,14146,38151,AWS,366536,Completed
280,Infosys,38885,186641,AWS,9106737,In Progress
281,HCLTech,110365,12308,Azure,9000746,In Progress
282,HCLTech,17422,185881,GCP,7292949,In Progress
283,Wipro,84348,217459,Java,685342,Completed
284,Wipro,49302,117335,SAP,8332760,On Hold
285,Wipro,29763,38811,GCP,949430,Completed
286,HCLTech,20653,63754,Azure,431837,On Hold
287,HCLTech,57560,165894,AWS,7836933,Completed
288,Wipro,66423,141547,GCP,7658564,In Progress
289,Infosys,85612,152397,GCP,9176784,On Hold
290,TCS,104299,25085,AWS,6867774,In Progress
291,HCLTech,54012,143933,Java,6789793,On Hold
292,Wipro,89416,1524,Python,2021843,On Hold
293,Wipro,70548,140402,Azure,1698840,Completed
294,Infosys,118828,129623,Java,4637345,On Hold
295,Wipro,95071,102547,Python,9964033,On Hold
296,Wipro,74134,167497,Azure,5685531,Completed
297,Infosys,57527,158301,Java,2630020,Completed
298,HCLTech,32587,116721,Python,9441951,On Hold
299,HCLTech,45173,14998,SAP,1220417,Completed
300,Infosys,23162,60535,Java,6848464,Completed
301,HCLTech,61395,233452,Azure,8852978,Completed
302,TCS,54746,73402,GCP,3951012,On Hold
303,TCS,51362,24115,Azure,9956707,Completed
304,HCLTech,119137,144295,Python,5080144,In Progress
305,Infosys,87036,56472,GCP,4521275,Completed
306,Wipro,107153,78424,Azure,637381,On Hold
307,HCLTech,60284,220994,Java,2982704,On Hold
308,HCLTech,10212,155685,Java,2041051,On Hold
309,Infosys,12602,70746,SAP,4218695,In Progress
310,TCS,14474,211379,GCP,7456874,On Hold
311,Wipro,34655,33295,AWS,1369337,On Hold
312,HCLTech,49908,152727,Azure,1257972,In Progress
313,HCLTech,41473,107072,Python,9668409,In Progress
314,TCS,111490,184338,Azure,8947205,Completed
315,TCS,86804,222427,AWS,77177,In Progress
316,TCS,27487,178682,Python,488622,Completed
317,Wipro,110148,143724,Azure,6185308,In Progress
318,Wipro,85921,34552,SAP,8869780,Completed
319,HCLTech,33631,66314,SAP,6981404,On Hold
320,TCS,67314,48238,Python,7384086,Completed
321,Infosys,95603,17532,Java,1053844,Completed
322,Infosys,18080,91107,Azure,9819240,Completed
323,TCS,45545,221021,Python,5399470,On Hold
324,Wipro,10889,77329,Python,6553551,In Progress
325,TCS,38196,222809,Python,287583,In Progress
326,Infosys,50078,245174,Azure,5858387,Completed
327,TCS,36288,103510,SAP,1428865,In Progress
328,TCS,14427,107179,Java,7990275,In Progress
329,TCS,90625,193571,Java,1736565,On Hold
330,HCLTech,102358,188871,Java,9459527,On Hold
331,HCLTech,97675,185830,Java,1493995,On Hold
332,Wipro,69398,123776,Azure,8970420,On Hold
333,HCLTech,72827,65912,GCP,941550,On Hold
334,TCS,12329,107,Azure,8068521,In Progress
335,Infosys,61082,131733,SAP,6794443,Completed
336,Infosys,3052,217610,SAP,7627295,In Progress
337,Wipro,84876,161944,GCP,976548,In Progress
338,Infosys,100943,128930,Azure,84772,Completed
339,Wipro,107708,218892,AWS,6907897,Completed
340,HCLTech,74696,231570,GCP,7794339,Completed
341,Infosys,33662,232665,Azure,2348233,On Hold
342,Wipro,14455,243764,Azure,335207,On Hold
343,Infosys,75828,218267,Java,9914327,Completed
344,HCLTech,72560,220289,AWS,9890523,In Progress
345,Infosys,81210,22006,AWS,7601119,In Progress
346,Wipro,28203,189514,AWS,7474632,In Progress
347,TCS,112376,146383,Java,8311355,Completed
348,TCS,16391,80935,AWS,9917261,On Hold
349,HCLTech,115322,136422,AWS,2912262,In Progress
350,TCS,13426,172543,Azure,7681612,In Progress
351,Infosys,72317,31532,Azure,662083,Completed
352,Infosys,6335,82796,SAP,4391728,In Progress
353,Infosys,2964,168660,GCP,4601534,In Progress
354,TCS,40430,236710,Python,813770,In Progress
355,TCS,107028,9057,AWS,3818874,On Hold
356,HCLTech,21735,16530,SAP,2899363,In Progress
357,Infosys,68153,238225,GCP,2275586,On Hold
358,Wipro,5650,172043,Azure,7929568,Completed
359,Infosys,75012,145598,AWS,9042591,On Hold
360,TCS,110694,32769,GCP,6733812,Completed
361,Wipro,51172,93968,Azure,5504721,In Progress
362,TCS,5003,231834,Python,9739369,In Progress
363,Infosys,398,224552,AWS,6365336,On Hold
364,Wipro,78951,100532,Python,6679445,Completed
365,TCS,95114,53555,SAP,6635370,On Hold
366,Infosys,83405,153874,Azure,5266683,Completed
367,HCLTech,3600,46029,GCP,9681914,On Hold
368,Wipro,15734,11773,Azure,6001627,On Hold
369,Wipro,39257,249094,SAP,232003,On Hold
370,Wipro,91459,180229,GCP,7076493,In Progress
371,HCLTech,95198,222819,AWS,1340752,Completed
372,HCLTech,94911,63794,GCP,6413244,On Hold
373,TCS,58414,8656,Azure,3955782,On Hold
374,HCLTech,7814,76858,GCP,7345901,In Progress
375,HCLTech,60379,243792,Python,3195029,Completed
376,Wipro,13458,105644,AWS,2030821,In Progress
377,Infosys,22816,37372,Azure,9161999,In Progress
378,HCLTech,83379,144613,Azure,5044847,On Hold
379,Infosys,17038,226819,Python,5999826,In Progress
380,HCLTech,4758,198249,Azure,5426676,Completed
381,HCLTech,15803,78865,Python,9108797,On Hold
382,HCLTech,6003,209749,AWS,4658120,On Hold
383,Wipro,85286,31605,SAP,1360622,Completed
384,TCS,41299,232678,Azure,5876191,On Hold
385,TCS,67029,17077,AWS,803840,In Progress
386,HCLTech,97381,209588,Azure,2830840,On Hold
387,Wipro,85780,185719,Azure,6692640,In Progress
388,TCS,55132,229756,Python,3302780,On Hold
389,Wipro,38124,42089,Azure,9044848,In Progress
390,Infosys,107869,241099,AWS,4768011,In Progress
391,HCLTech,1835,139773,AWS,1074682,On Hold
392,TCS,48570,69655,AWS,9910886,In Progress
393,Wipro,70759,29641,Java,3310078,In Progress
394,TCS,67541,155976,Azure,3774701,Completed
395,Infosys,93018,65210,Python,3416955,Completed
396,TCS,56179,81006,Python,9123630,On Hold
397,TCS,93799,163639,SAP,7159700,On Hold
398,Infosys,33812,13682,GCP,7136446,On Hold
399,TCS,41811,174369,Java,4337049,On Hold
400,TCS,31902,1354,Azure,9463289,On Hold
401,TCS,118473,214083,AWS,2670575,Completed
402,TCS,60739,102638,Azure,3438711,In Progress
403,Wipro,117014,128308,GCP,4183220,Completed
404,Infosys,112324,35862,AWS,6180901,Completed
405,HCLTech,25786,185829,AWS,7590132,In Progress
406,Infosys,74873,84424,GCP,8379036,Completed
407,Wipro,84827,127877,Java,5849435,In Progress
408,HCLTech,23320,149544,SAP,7809290,Completed
409,Wipro,3635,23962,AWS,8045756,Completed
410,Wipro,74340,135312,GCP,1875233,In Progress
411,TCS,94927,68667,GCP,3807400,Completed
412,HCLTech,34980,170833,Azure,4893618,On Hold
413,TCS,28130,165210,Python,2090580,On Hold
414,Wipro,85943,70347,GCP,5635902,On Hold
415,Wipro,4405,112545,Python,1765464,In Progress
416,TCS,96195,100422,SAP,7324822,On Hold
417,Infosys,48899,62941,SAP,5243066,Completed
418,Wipro,45872,157626,AWS,7951584,On Hold
419,Infosys,76839,47559,Java,6097179,On Hold
420,TCS,10897,27520,GCP,9562672,In Progress
421,Infosys,15065,235195,SAP,3683030,Completed
422,TCS,56155,123543,SAP,7106189,In Progress
423,Wipro,53701,248781,AWS,7253698,Completed
424,Wipro,84784,181492,Python,5270951,In Progress
425,Wipro,119908,17192,AWS,1579971,On Hold
426,Wipro,82736,23420,Python,6637735,On Hold
427,Wipro,21029,103290,AWS,7413263,On Hold
428,Infosys,118467,29417,GCP,9594832,In Progress
429,Infosys,7949,71789,Java,1701056,Completed
430,Infosys,70851,138996,AWS,3692527,On Hold
431,TCS,119167,60063,GCP,7153383,In Progress
432,TCS,13450,218415,AWS,1396740,On Hold
433,HCLTech,11890,194805,GCP,2199986,Completed
434,Wipro,1628,145572,AWS,7817581,On Hold
435,Infosys,28521,93340,Python,4340433,Completed
436,Wipro,80889,198988,GCP,6098894,On Hold
437,TCS,103218,60797,SAP,905394,In Progress
438,HCLTech,76826,10563,Azure,2806530,On Hold
439,Wipro,31750,222612,SAP,1941865,Completed
440,TCS,111528,160150,AWS,3093059,In Progress
441,Wipro,5366,60792,Java,1618836,On Hold
442,Wipro,111738,153204,SAP,6000082,Completed
443,Wipro,23204,76069,Azure,2270663,In Progress
444,HCLTech,56933,195964,Java,6914124,On Hold
445,TCS,67249,248768,Java,787317,In Progress
446,Wipro,75103,105534,Java,8364581,On Hold
447,Wipro,82979,229119,Java,4222942,In Progress
448,Wipro,56186,115028,Python,5016939,In Progress
449,HCLTech,92155,102332,Azure,7215896,In Progress
450,Wipro,108594,97452,Python,5979155,On Hold
451,Wipro,30732,186818,AWS,4954068,In Progress
452,Wipro,24252,183781,AWS,3558669,On Hold
453,HCLTech,71732,245373,Python,9970133,Completed
454,HCLTech,36449,164654,Python,4768608,Completed
455,TCS,82860,178447,Azure,4019438,In Progress
456,TCS,96440,90610,SAP,673963,Completed
457,Wipro,14415,32562,SAP,3432503,In Progress
458,HCLTech,70599,177795,Azure,4141453,Completed
459,Wipro,22516,217469,AWS,5606607,On Hold
460,Wipro,80603,206950,SAP,1576715,Completed
461,Wipro,81733,169077,SAP,6696727,In Progress
462,HCLTech,26746,119623,AWS,2969957,On Hold
463,HCLTech,112080,83729,SAP,2871985,On Hold
464,HCLTech,100667,207413,SAP,3498325,On Hold
465,TCS,62898,234371,Java,2284459,Completed
466,Infosys,73389,203748,Java,9100608,In Progress
467,Infosys,39876,103166,AWS,7708180,On Hold
468,HCLTech,92180,143079,Java,8634037,In Progress
469,HCLTech,84501,22433,Java,3560696,In Progress
470,Wipro,94486,144937,GCP,1261615,Completed
471,Infosys,39749,28610,Python,6312138,In Progress
472,Wipro,79105,104033,Azure,8737940,On Hold
473,HCLTech,49332,75334,AWS,6550760,On Hold
474,TCS,92441,223550,Java,7839353,In Progress
475,TCS,112446,18047,Azure,8854819,Completed
476,Wipro,11406,130709,AWS,7868858,On Hold
477,TCS,105335,185263,Azure,7892058,In Progress
478,Wipro,55622,135355,Java,906867,In Progress
479,Wipro,102581,186614,Azure,9651748,Completed
480,Infosys,53762,44486,AWS,6522877,In Progress
481,Wipro,113497,150484,Java,7347475,Completed
482,TCS,95866,149838,Java,5037074,On Hold
483,Infosys,52826,88749,SAP,3117696,Completed
484,Wipro,26822,196870,AWS,3303471,Completed
485,Infosys,90459,39853,GCP,6710032,Completed
486,Infosys,84524,97505,SAP,7464040,Completed
487,TCS,42283,87648,AWS,1856515,In Progress
488,Wipro,89746,143571,AWS,1991063,In Progress
489,Infosys,59518,223036,GCP,7642948,Completed
490,HCLTech,27226,69994,Azure,5177536,In Progress
491,TCS,41063,71515,AWS,9053213,On Hold
492,TCS,74731,3056,Azure,5129503,Completed
493,Infosys,118406,144472,Java,1657237,On Hold
494,HCLTech,101315,97617,GCP,8722924,Completed
495,Infosys,107262,220676,Java,8802916,In Progress
496,Wipro,106334,121322,AWS,6411697,On Hold
497,HCLTech,99201,240859,Python,7548923,In Progress
498,TCS,37558,7853,Azure,8674953,On Hold
499,TCS,34869,210564,Azure,2158067,Completed
500,HCLTech,98050,163206,Python,8023361,In Progress
501,HCLTech,61346,15665,Azure,8061118,Completed
502,TCS,28024,238291,Azure,1344791,In Progress
503,HCLTech,31737,31023,AWS,461698,On Hold
504,TCS,79439,134690,GCP,4570188,Completed
505,Wipro,40414,130030,GCP,3195172,On Hold
506,TCS,104188,187808,Python,6469570,On Hold
507,Infosys,16805,75154,SAP,2632267,On Hold
508,Wipro,45442,207309,Python,481066,Completed
509,Wipro,57132,18051,Azure,1713398,In Progress
510,Infosys,117220,222685,Java,432446,Completed
511,HCLTech,71778,181687,AWS,5660944,On Hold
512,HCLTech,34351,45677,AWS,9760675,In Progress
513,Infosys,108186,148683,SAP,4315539,Completed
514,Wipro,68107,213808,AWS,6238240,Completed
515,Infosys,95388,128856,Java,2985232,On Hold
516,HCLTech,23230,233496,Java,6645341,Completed
517,HCLTech,80405,209969,SAP,2919726,Completed
518,Wipro,102132,232153,Python,2754248,Completed
519,HCLTech,27280,22989,SAP,7188733,In Progress
520,TCS,110350,69832,Azure,8956835,In Progress
521,Infosys,108909,66926,GCP,3451901,On Hold
522,Wipro,92891,123823,SAP,6272311,In Progress
523,HCLTech,12210,77289,Java,7933159,In Progress
524,HCLTech,11410,231480,Azure,6124066,On Hold
525,Infosys,12001,204161,SAP,554931,On Hold
526,Infosys,9450,170755,GCP,7157794,Completed
527,Wipro,87031,1057,AWS,9963520,On Hold
528,HCLTech,98743,126330,Azure,9169594,Completed
529,Wipro,22934,212206,AWS,5816704,In Progress
530,HCLTech,23914,6030,AWS,6521903,On Hold
531,HCLTech,71784,89921,Java,8473194,On Hold
532,TCS,107081,105110,Java,4593575,Completed
533,Infosys,5553,130937,GCP,6175474,Completed
534,HCLTech,4092,72207,AWS,7952265,In Progress
535,Wipro,40479,89839,Azure,7683165,In Progress
536,TCS,26930,31961,Azure,69340,On Hold
537,HCLTech,31258,116066,GCP,9949541,Completed
538,HCLTech,9349,114795,SAP,5005169,In Progress
539,TCS,38008,172180,GCP,1180040,In Progress
540,Wipro,13743,183253,Azure,8269066,In Progress
541,Infosys,71150,205260,GCP,2695232,On Hold
542,Wipro,42349,161746,SAP,588069,In Progress
543,TCS,22597,206486,SAP,6228804,Completed
544,HCLTech,111147,106813,AWS,620071,Completed
545,Wipro,14623,79312,Azure,390023,In Progress
546,TCS,55530,171136,Python,1012522,On Hold
547,Infosys,49541,52625,Java,4117434,In Progress
548,Wipro,34124,116724,AWS,52053,On Hold
549,Infosys,54374,56255,Java,5822078,On Hold
550,Infosys,79078,233208,GCP,6987109,On Hold
551,Wipro,99457,34531,Python,1386115,Completed
552,Infosys,106526,243912,SAP,3044631,In Progress
