Technology_ID,Company,Technology,Project_ID,Popularity
71,TCS,GCP,156167,57.61
72,HCLTech,Java,138755,94.88
73,Wipro,Java,161602,95.05
74,Wipro,SAP,59543,85.72
75,TCS,Java,51990,60.38
76,Infosys,Java,156474,83.58
77,Wipro,GCP,133471,89.31
78,Wipro,Java,70987,70.57
79,Wipro,AWS,19706,94.37
80,TCS,Azure,166168,62.99
81,Wipro,SAP,27548,77.09
82,Wipro,Java,14972,54.42
83,TCS,Java,160955,77.17
84,HCLTech,Java,69113,72.48
85,TCS,AWS,32470,87.12
86,Wipro,GCP,147010,95.81
87,HCLTech,GCP,156865,96.19
88,HCLTech,Azure,85576,52.21
89,TCS,SAP,163050,75.25
90,Wipro,Azure,141182,68.23
91,TCS,GCP,68100,81.47
92,Infosys,Azure,90870,54.12
93,TCS,Azure,149134,72.81
94,HCLTech,SAP,141697,96.91
95,Wipro,Azure,112904,60.49
96,TCS,AWS,130594,96.93
97,HCLTech,Java,19439,51.19
98,HCLTech,GCP,65480,70.27
99,Infosys,Python,45182,56.86
100,TCS,Java,2916,52.84
101,Wipro,SAP,153055,88.5
102,HCLTech,Java,108110,57.27
103,Infosys,Python,104845,63.92
104,HCLTech,Azure,30342,79.63
105,Infosys,Azure,131348,75.44
106,Infosys,Azure,15791,86.42
107,Wipro,Python,168804,74.98
108,TCS,AWS,50082,85.21
109,TCS,SAP,20284,90.18
110,Wipro,Python,143665,83.56
111,Infosys,Azure,47798,59.54
112,TCS,Python,20462,73.35
113,HCLTech,AWS,57693,96.22
114,Infosys,Python,97465,86.94
115,TCS,Java,147382,64.34
116,Wipro,Java,147112,98.07
117,TCS,Azure,65343,59.02
118,Infosys,SAP,161802,82.86
119,TCS,Java,37101,69.05
120,HCLTech,GCP,4067,72.78
121,TCS,SAP,14337,75.83
122,TCS,Java,155699,86.33
123,Infosys,GCP,135570,56.61
124,Wipro,Azure,62426,97.43
125,TCS,Azure,14049,70.06
126,Wipro,Python,61572,88.51
127,Wipro,SAP,152592,93.09
128,HCLTech,GCP,99820,50.74
129,HCLTech,Python,4878,83.86
130,Wipro,Java,48541,75.69
131,Infosys,GCP,40269,70.14
132,Wipro,Azure,143498,71.37
133,TCS,Java,14495,85.75
134,HCLTech,Python,82874,75.79
135,TCS,SAP,87645,66.97
136,HCLTech,Java,7491,57.04
137,Wipro,Azure,151882,98.23
138,HCLTech,GCP,136725,60.0
139,TCS,GCP,106841,62.2
140,Wipro,Python,53139,84.08
141,Wipro,Azure,118284,77.36
142,TCS,Python,9102,88.1
143,Infosys,Azure,130223,54.61
144,Wipro,SAP,49501,76.7
145,Wipro,AWS,26842,95.67
146,TCS,GCP,120767,65.67
147,TCS,Python,68205,61.85
148,Wipro,Python,166634,75.28
149,Infosys,SAP,23817,94.41
150,TCS,SAP,114140,87.28
151,HCLTech,Python,131778,54.36
152,HCLTech,GCP,50745,59.41
153,TCS,Python,130759,56.61
154,Infosys,Python,179958,76.72
155,Infosys,Python,169238,52.47
156,TCS,Azure,43971,86.71
157,TCS,AWS,129926,77.21
158,Wipro,SAP,37604,88.17
159,Infosys,AWS,89750,85.07
160,TCS,AWS,163681,68.82
161,TCS,AWS,62862,87.26
162,TCS,Azure,153662,59.34
163,TCS,GCP,146407,60.97
164,TCS,Python,63403,95.73
165,Infosys,GCP,126492,76.93
166,HCLTech,SAP,26117,76.42
167,Infosys,Java,158515,72.34
168,HCLTech,SAP,127012,53.46
169,TCS,Python,164579,83.73
170,TCS,Java,34304,77.05
171,TCS,AWS,34727,50.12
172,HCLTech,GCP,121066,52.99
173,Wipro,AWS,58034,69.14
174,Wipro,Java,27809,83.54
175,TCS,GCP,89952,52.27
176,Infosys,GCP,47248,72.89
177,Infosys,Azure,58239,87.57
178,TCS,SAP,19058,59.22
179,HCLTech,Java,129876,52.85
180,HCLTech,AWS,123576,80.49
181,HCLTech,Python,64926,84.99
182,HCLTech,Azure,67086,60.93
183,TCS,Azure,84237,93.78
184,HCLTech,GCP,131657,60.58
185,Wipro,Python,174388,90.39
186,Wipro,AWS,162528,91.6
187,Infosys,Azure,157408,53.2
188,HCLTech,AWS,27431,66.15
189,Wipro,Python,131671,62.04
190,TCS,Java,94351,50.72
191,Wipro,SAP,42083,96.59
192,HCLTech,GCP,81451,86.89
193,HCLTech,Python,175764,94.68
194,Infosys,Python,51971,75.68
195,HCLTech,GCP,125276,69.69
196,TCS,AWS,104437,81.54
197,TCS,Python,169383,55.35
198,HCLTech,Azure,44719,73.57
199,Wipro,GCP,128030,73.58
200,Wipro,GCP,76082,56.2
201,HCLTech,Python,8523,69.21
202,Wipro,Azure,34052,98.16
203,Infosys,AWS,161231,61.72
204,Wipro,Java,35323,67.43
205,Infosys,AWS,28553,60.53
206,TCS,SAP,39935,95.14
207,Wipro,AWS,160612,80.54
208,Wipro,Java,80429,54.65
209,HCLTech,Python,69938,79.32
210,Infosys,Python,175306,68.63
211,Wipro,Azure,90981,73.68
212,Infosys,Azure,44520,91.47
213,Infosys,Python,68496,77.99
214,HCLTech,Python,45713,54.55
215,TCS,Java,65595,94.82
216,HCLTech,GCP,178088,55.1
217,Wipro,SAP,26558,52.23
218,HCLTech,GCP,29551,96.98
219,Wipro,Azure,76576,63.98
220,Wipro,Java,66884,74.91
221,Infosys,Java,87278,68.04
222,Wipro,Python,170978,88.92
223,HCLTech,GCP,29629,63.52
224,TCS,GCP,82017,70.87
225,Wipro,Azure,16495,89.01
226,HCLTech,Azure,7138,59.52
227,Wipro,Azure,133120,82.17
228,Wipro,Python,158364,82.45
229,TCS,Azure,80336,87.42
230,Wipro,Python,177393,74.03
231,HCLTech,Python,56283,53.03
232,TCS,SAP,47577,77.43
233,Wipro,Python,79377,83.62
234,TCS,GCP,10518,65.01
235,Wipro,SAP,148636,84.11
236,Infosys,AWS,98688,68.44
237,Infosys,Azure,25751,62.47
238,TCS,GCP,81787,52.34
239,HCLTech,GCP,113114,66.05
240,Wipro,AWS,22531,90.29
241,HCLTech,Azure,59204,55.3
242,Infosys,Azure,123116,60.81
243,HCLTech,Azure,50112,79.24
244,Infosys,Python,25976,96.69
245,TCS,Azure,132031,69.13
246,Wipro,GCP,70100,76.3
247,Wipro,Python,703,62.55
248,HCLTech,Java,15639,76.0
249,Infosys,Java,167928,83.35
250,TCS,Java,17646,63.43
251,HCLTech,Azure,134123,55.82
252,TCS,SAP,97250,95.46
253,Infosys,Python,175425,70.32
254,HCLTech,Java,72095,60.33
255,Infosys,AWS,69232,69.28
256,HCLTech,AWS,6571,75.39
257,Wipro,GCP,34282,75.2
258,TCS,Azure,130098,68.42
259,Wipro,AWS,69841,80.37
260,TCS,GCP,19361,69.97
261,TCS,SAP,114824,53.64
262,Wipro,Python,163741,96.27
263,Wipro,Azure,126710,55.59
264,HCLTech,Java,136004,74.63
265,HCLTech,Azure,124746,64.31
266,HCLTech,Python,90443,96.45
267,Infosys,Python,104295,52.75
268,HCLTech,Azure,144139,76.2
269,TCS,Python,133104,53.5
270,Wipro,Java,14679,74.36
271,Wipro,SAP,103740,56.66
272,HCLTech,SAP,122143,55.12
273,TCS,AWS,81379,62.9
274,Wipro,GCP,94892,85.95
275,TCS,Azure,54616,63.53
276,HCLTech,GCP,100633,63.27
277,Wipro,SAP,7889,90.05
278,TCS,SAP,194,67.64
279,Infosys,SAP,135665,83.13
280,TCS,Azure,139371,99.5
281,TCS,SAP,92551,86.79
282,Infosys,Azure,118377,98.94
283,Infosys,GCP,84587,69.48
284,Wipro,GCP,108949,75.52
285,HCLTech,SAP,99400,73.87
286,Wipro,Azure,113108,96.35
287,TCS,SAP,99471,57.41
288,TCS,Java,65727,90.0
289,Infosys,AWS,133683,97.46
290,TCS,GCP,135163,70.6
291,TCS,GCP,48556,59.48
292,Wipro,GCP,31395,92.46
293,HCLTech,Python,39717,60.21
294,HCLTech,Python,144796,61.41
295,TCS,SAP,147060,74.81
296,TCS,AWS,106474,65.67
297,TCS,Azure,177577,89.16
298,TCS,Java,154760,67.27
299,HCLTech,AWS,97981,89.31
300,Infosys,GCP,53445,57.91
301,Infosys,GCP,109227,75.92
302,Wipro,GCP,119825,93.33
303,Wipro,GCP,95975,88.21
304,HCLTech,Java,4262,88.38
305,Infosys,AWS,86048,64.62
306,Infosys,AWS,131954,83.35
307,Infosys,Python,161473,92.38
308,TCS,Azure,73471,94.45
309,TCS,SAP,103875,99.23
310,TCS,GCP,138615,54.41
311,Infosys,Java,142428,87.95
312,TCS,Java,71270,65.7
313,Wipro,Python,161304,50.75
314,HCLTech,GCP,36363,62.82
315,Wipro,SAP,100357,66.64
316,TCS,GCP,162331,68.14
317,Wipro,Python,72912,98.6
318,HCLTech,AWS,135668,53.26
319,Infosys,Java,140919,75.19
320,Infosys,Python,76069,57.92
321,Infosys,Azure,81610,50.53
322,HCLTech,AWS,51787,89.42
323,TCS,Python,25476,68.43
324,Infosys,AWS,32041,71.34
325,HCLTech,SAP,92918,60.71
326,Wipro,GCP,79484,53.38
327,TCS,Python,2935,85.55
328,HCLTech,Azure,28075,97.08
329,Infosys,Python,18722,77.45
330,HCLTech,Python,145032,92.45
331,TCS,SAP,172999,67.72
332,HCLTech,AWS,110273,82.99
333,TCS,Python,31648,70.91
334,TCS,Java,125624,65.1
335,Wipro,Python,53467,56.15
336,TCS,Python,18960,73.5
337,HCLTech,Azure,58431,98.96
338,TCS,SAP,140298,58.3
339,Infosys,Azure,105615,53.33
340,HCLTech,SAP,115690,94.88
341,TCS,Python,139674,90.43
342,Infosys,GCP,40097,92.26
343,Infosys,AWS,148654,51.05
344,Wipro,Java,72878,68.97
345,Infosys,SAP,84146,80.64
346,Infosys,SAP,92917,61.5
347,Wipro,SAP,94887,99.0
348,Wipro,AWS,161442,91.11
349,Infosys,SAP,3872,82.69
350,Infosys,Azure,8705,60.07
351,HCLTech,GCP,104984,62.01
352,Infosys,Azure,62694,64.07
353,Infosys,Azure,113897,92.76
354,TCS,GCP,125929,66.36
355,TCS,GCP,64058,59.03
356,HCLTech,Azure,99617,91.99
357,Wipro,Azure,98262,88.68
358,HCLTech,Azure,125042,85.5
359,HCLTech,SAP,43962,61.53
360,Infosys,AWS,60617,53.28
361,Wipro,AWS,4984,92.25
362,Infosys,AWS,96803,85.16
363,TCS,SAP,90762,66.47
364,Infosys,Azure,124958,73.52
365,TCS,Python,152045,63.49
366,Wipro,AWS,13921,84.34
367,Wipro,GCP,6272,52.35
368,HCLTech,AWS,151238,85.25
369,Infosys,GCP,90115,56.94
370,TCS,Python,134690,89.81
371,Infosys,GCP,53781,79.03
372,Wipro,GCP,88169,59.3
373,Wipro,SAP,146919,68.49
374,TCS,GCP,102644,95.33
375,TCS,AWS,145459,52.63
376,Infosys,GCP,114069,98.15
377,HCLTech,SAP,34652,78.12
378,Infosys,GCP,126476,95.15
379,HCLTech,GCP,150219,88.39
380,Infosys,GCP,144623,51.73
381,Infosys,AWS,101541,52.34
382,Infosys,AWS,15905,68.57
383,Infosys,Python,6124,98.81
384,HCLTech,Java,62770,68.93
385,Wipro,SAP,65554,50.28
386,Wipro,Python,85149,91.82
387,Infosys,Azure,164816,50.87
388,TCS,Java,56423,94.49
389,Wipro,AWS,11027,91.34
390,Infosys,AWS,15861,50.15
391,Infosys,AWS,122144,61.75
392,Wipro,Azure,114951,95.01
393,Wipro,Azure,143934,98.56
394,Wipro,Azure,163645,86.14
395,HCLTech,Java,10321,73.86
396,Infosys,GCP,71132,56.11
397,Wipro,Java,8889,64.67
398,Wipro,GCP,44795,53.6
399,HCLTech,GCP,121215,63.64
400,Infosys,GCP,118153,71.92
401,TCS,SAP,163301,57.04
402,Wipro,Python,115570,61.07
403,HCLTech,AWS,145989,61.08
404,Wipro,Python,150343,79.64
405,Infosys,Java,38779,60.26
406,Wipro,Azure,139080,99.8
407,HCLTech,Python,127722,74.34
408,Infosys,GCP,94700,90.09
409,Infosys,Java,109219,71.26
410,Infosys,Java,135044,52.25
411,TCS,AWS,174988,60.17
412,Infosys,Java,139722,54.36
413,HCLTech,GCP,46910,98.46
414,Wipro,AWS,113518,94.99
415,Infosys,AWS,97098,57.73
416,HCLTech,SAP,108661,55.78
417,HCLTech,AWS,114490,72.11
418,Infosys,Azure,134831,75.28
419,TCS,Java,163436,72.08
420,Wipro,GCP,90128,90.54
421,HCLTech,Java,123588,96.83
422,Wipro,Azure,106035,86.61
423,HCLTech,Java,156491,51.92
424,Wipro,Java,145235,61.57
425,Wipro,SAP,52238,86.03
426,Wipro,GCP,820,71.7
427,HCLTech,GCP,75725,53.64
428,Wipro,GCP,7001,74.44
429,HCLTech,Python,123991,75.13
430,TCS,AWS,104951,71.68
431,Wipro,Python,120624,78.62
432,Infosys,Python,30400,90.0
433,TCS,AWS,150443,60.32
434,HCLTech,Java,139335,75.37
435,TCS,Java,20715,90.53
436,Wipro,SAP,10221,51.68
437,HCLTech,Java,95161,79.96
438,HCLTech,Java,141836,51.03
439,Infosys,AWS,119973,84.48
440,Wipro,Azure,12089,85.23
441,Infosys,GCP,176700,69.59
442,TCS,AWS,104127,68.66
443,Infosys,AWS,116541,63.5
444,TCS,GCP,145409,51.9
445,TCS,SAP,148318,52.54
446,Wipro,Java,173037,89.39
447,TCS,SAP,80815,57.49
448,TCS,AWS,101575,94.48
449,Wipro,GCP,19998,83.91
450,Infosys,GCP,25921,74.33
451,HCLTech,GCP,48092,80.42
452,TCS,Python,140807,50.21
453,TCS,Java,129514,70.79
454,HCLTech,SAP,68119,62.69
455,HCLTech,SAP,172636,89.18
456,Wipro,AWS,66288,58.53
457,TCS,SAP,91964,79.0
458,Wipro,Python,135285,77.31
459,Infosys,GCP,41315,94.81
460,Wipro,AWS,68546,86.21
461,Infosys,Python,35725,82.27
462,HCLTech,Java,44686,98.4
463,TCS,AWS,127712,58.4
464,HCLTech,AWS,113384,70.3
465,Infosys,AWS,12851,78.74
466,Wipro,Python,122281,61.5
467,Wipro,Java,168024,63.1
468,TCS,Azure,50889,58.17
469,HCLTech,Python,105612,81.45
470,Infosys,Java,92606,84.25
471,TCS,Azure,22446,63.55
472,Wipro,Azure,148472,75.2
473,TCS,AWS,45527,95.75
474,Infosys,Java,172667,73.35
475,Infosys,SAP,88569,91.4
476,Infosys,Java,165417,64.67
477,HCLTech,Azure,32833,99.58
478,TCS,SAP,22664,73.76
479,HCLTech,SAP,5541,74.25
480,Wipro,Java,59767,99.42
481,Wipro,Java,135974,79.21
482,Infosys,Azure,150208,93.56
483,Wipro,Azure,149694,69.57
484,Wipro,AWS,165330,95.91
485,Wipro,Java,38008,85.84
486,HCLTech,AWS,24561,59.4
487,HCLTech,GCP,38161,62.61
488,TCS,Python,62649,65.32
489,Wipro,GCP,159744,80.44
490,Infosys,Azure,159237,65.41
491,Wipro,Python,142093,91.86
492,TCS,Azure,637,93.01
493,Infosys,Python,111605,71.18
494,Infosys,SAP,7384,80.96
495,Infosys,AWS,58366,61.86
496,TCS,SAP,35611,97.04
497,HCLTech,SAP,61908,91.34
498,Infosys,Java,111727,71.95
499,TCS,Azure,18764,91.07
500,Infosys,Azure,110582,70.59
501,Wipro,GCP,143145,63.68
502,HCLTech,GCP,112400,88.51
503,HCLTech,SAP,58054,84.71
504,Infosys,GCP,79107,81.02
505,Infosys,Java,104902,63.06
506,Wipro,SAP,112310,99.74
507,Wipro,Azure,16643,66.6
508,TCS,Java,39809,77.69
509,Wipro,Azure,162946,69.13
510,Infosys,SAP,49228,53.87
511,Wipro,Python,93367,81.05
512,HCLTech,Python,129139,83.32
513,Infosys,Azure,114989,68.99
514,Wipro,SAP,56156,58.8
515,HCLTech,SAP,26479,63.56
516,TCS,Python,24839,58.71
517,Infosys,GCP,150377,88.21
518,Infosys,AWS,60022,67.98
519,Infosys,Java,31270,87.1
520,TCS,Java,9631,92.18
521,HCLTech,GCP,25126,70.72
522,TCS,SAP,94030,97.34
523,Wipro,SAP,119579,56.87
524,Infosys,Java,160031,64.54
525,Infosys,Azure,104004,82.92
526,HCLTech,Python,108961,72.63
527,HCLTech,GCP,27359,90.15
528,TCS,SAP,133669,57.17
529,TCS,AWS,124236,80.55
530,TCS,SAP,87856,57.96
531,TCS,AWS,97747,75.65
532,HCLTech,Python,132865,86.82
533,Infosys,AWS,54629,91.77
534,HCLTech,Azure,97801,64.26
535,HCLTech,Java,28419,89.91
536,Infosys,AWS,13109,75.52
537,Infosys,Python,177522,52.12
538,Wipro,AWS,127814,69.07
539,Wipro,Python,170031,70.89
540,TCS,Java,121464,99.62
541,Infosys,Python,65163,72.5
542,Infosys,GCP,79620,74.35
543,Infosys,Java,2749,99.76
544,Wipro,Python,106140,78.42
545,Wipro,GCP,85248,95.08
546,Infosys,Java,176419,68.15
547,Infosys,SAP,155704,97.71
548,HCLTech,Azure,115144,93.88
549,HCLTech,GCP,57385,84.04
550,Wipro,Python,88151,96.72
551,Infosys,Azure,140789,73.42
552,HCLTech,AWS,159446,72.79
553,HCLTech,Azure,88071,91.77
554,Infosys,Python,27340,64.5
555,Wipro,GCP,86936,64.61
556,Wipro,Python,1218,86.6
557,TCS,SAP,64206,53.69
558,Wipro,AWS,118072,91.04
559,TCS,Java,59971,65.43
560,Wipro,SAP,100406,75.2
561,Infosys,Azure,94860,72.56
562,Infosys,SAP,55195,83.74
563,Infosys,Java,78960,68.77
564,Wipro,Azure,8900,88.98
565,Wipro,Azure,153417,76.59
566,Infosys,GCP,136115,83.12
567,Wipro,Python,147226,51.41
568,TCS,AWS,38171,80.22
569,Wipro,SAP,34729,96.79
570,Wipro,Java,54476,69.3
571,TCS,Azure,156476,60.54
572,TCS,AWS,110468,61.87
573,HCLTech,Azure,179268,92.53
574,HCLTech,Azure,52827,87.8
575,HCLTech,Azure,42387,52.27
576,Wipro,GCP,65096,70.69
577,HCLTech,SAP,79379,63.52
578,HCLTech,GCP,5744,75.02
579,Wipro,GCP,87617,52.59
580,Wipro,Azure,137435,84.62
581,TCS,SAP,27725,79.63
582,HCLTech,AWS,6759,73.54
583,Wipro,SAP,56552,96.65
584,TCS,GCP,151215,69.47
585,Infosys,SAP,136429,64.92
586,HCLTech,Azure,93761,59.99
587,HCLTech,AWS,5258,69.79
588,HCLTech,AWS,72649,73.3
589,Wipro,Java,44866,67.3
590,HCLTech,Azure,11738,75.7
591,HCLTech,AWS,110746,52.34
592,TCS,GCP,88078,58.76
593,Infosys,Java,134608,57.16
594,Infosys,Java,160896,96.62
595,Wipro,AWS,89458,62.71
596,TCS,Java,176090,82.76
597,Wipro,GCP,13795,81.92
598,Wipro,Python,173529,79.74
599,HCLTech,GCP,57377,84.43
600,HCLTech,Python,64678,52.39
601,Wipro,GCP,169607,81.26
602,TCS,SAP,3882,83.62
603,Infosys,Python,90373,99.7
604,TCS,Azure,179474,83.93
605,Infosys,GCP,46116,59.12
606,Infosys,GCP,104360,90.14
607,TCS,Azure,121975,55.13
608,TCS,Java,55294,91.7
609,TCS,SAP,71966,50.52
610,Wipro,SAP,21814,53.5
611,Infosys,AWS,79164,69.96
612,TCS,Java,132017,67.47
613,Wipro,AWS,86028,93.97
614,HCLTech,SAP,145166,79.19
615,Wipro,Azure,24443,98.91
616,TCS,Java,58155,59.77
617,HCLTech,SAP,169009,92.93
618,TCS,Java,148653,56.78
619,HCLTech,Java,171451,80.21
620,HCLTech,GCP,101677,90.44
621,Wipro,GCP,171037,80.62
622,TCS,Azure,61022,98.97
623,HCLTech,Python,174539,81.89
624,HCLTech,SAP,159243,55.02
625,Wipro,Python,79154,63.36
626,TCS,Python,161447,67.74
627,Infosys,Python,14119,79.27
628,HCLTech,Java,121451,73.08
629,TCS,AWS,46831,74.92
630,TCS,SAP,151553,98.72
631,Wipro,Java,62058,54.76
632,Wipro,GCP,130474,78.38
633,TCS,Java,71009,68.35
634,TCS,AWS,157127,89.04
635,Infosys,GCP,84329,57.74
636,HCLTech,SAP,27899,76.34
637,Wipro,Python,175757,50.19
638,TCS,GCP,162364,51.06
639,Infosys,Java,145473,86.6
640,Infosys,Java,42796,94.52
641,TCS,Java,34974,89.24
642,TCS,Azure,121683,73.72
643,TCS,Java,45326,60.86
644,Infosys,GCP,23574,95.77
645,Wipro,Azure,142118,91.63
646,Wipro,SAP,33733,85.29
647,HCLTech,Azure,21754,56.26
648,Wipro,SAP,161606,50.07
649,HCLTech,Python,14361,85.61
650,TCS,GCP,103126,55.08
651,Infosys,Java,137887,53.86
652,Wipro,SAP,134043,60.06
653,HCLTech,Python,164091,77.74
654,HCLTech,AWS,105160,77.37
655,HCLTech,Azure,60360,52.78
656,Infosys,Java,175086,85.82
657,HCLTech,Python,56422,56.33
658,HCLTech,Python,166101,79.98
659,HCLTech,Java,95021,62.24
660,Wipro,Java,44632,70.56
661,HCLTech,Java,30249,97.54
662,TCS,Java,37664,88.18
663,Infosys,SAP,51706,95.86
664,Wipro,Java,2637,89.75
665,Wipro,Python,92188,98.03
666,Wipro,Java,139459,82.91
667,HCLTech,GCP,135399,81.18
668,TCS,AWS,36778,79.59
669,HCLTech,AWS,91149,62.1
670,HCLTech,AWS,154557,59.09
671,HCLTech,Azure,163836,96.7
672,HCLTech,SAP,10114,76.08
673,HCLTech,AWS,166202,94.2
674,Infosys,SAP,131136,57.63
675,TCS,Java,75112,80.49
676,HCLTech,SAP,142278,75.84
677,TCS,SAP,109207,75.32
678,Infosys,Java,52542,99.96
679,Wipro,GCP,70131,81.52
680,TCS,Python,9203,80.92
681,Infosys,GCP,51761,97.22
682,HCLTech,Azure,137624,99.72
683,Wipro,GCP,127521,58.94
684,HCLTech,GCP,139329,62.73
685,HCLTech,AWS,65427,80.53
686,Infosys,SAP,23429,89.9
687,TCS,AWS,113228,57.22
688,HCLTech,SAP,140532,98.21
689,TCS,SAP,52941,81.99
690,Infosys,SAP,20323,82.34
691,HCLTech,Python,15874,52.06
692,Wipro,Java,134842,96.87
693,Wipro,Azure,134926,50.68
694,Wipro,AWS,3385,98.87
695,TCS,AWS,15759,54.63
696,Wipro,Java,61001,88.39
697,Wipro,Azure,129162,51.65
698,Infosys,AWS,41009,71.21
699,TCS,Azure,69456,93.07
700,HCLTech,GCP,108406,99.89
701,Wipro,GCP,77778,57.44
702,HCLTech,Python,61785,62.71
703,Wipro,SAP,166970,64.15
704,HCLTech,Java,123533,74.61
705,TCS,Azure,157530,56.29
706,Infosys,Java,77167,53.36
707,TCS,AWS,67775,90.92
708,Infosys,Java,43973,91.63
709,HCLTech,Python,60111,68.91
710,HCLTech,GCP,18948,95.12
711,TCS,Python,42745,85.9
712,HCLTech,Java,139129,90.2
713,HCLTech,AWS,122115,66.69
714,HCLTech,GCP,1495,60.62
715,Wipro,GCP,70360,87.95
716,TCS,GCP,75802,55.04
717,Infosys,SAP,167351,75.38
718,HCLTech,Python,21848,97.42
719,Wipro,SAP,7711,98.41
720,HCLTech,AWS,39335,55.24
721,TCS,Java,50830,69.04
722,HCLTech,GCP,146328,52.88
723,TCS,Python,168082,61.86
724,Infosys,Azure,63403,66.14
725,HCLTech,Azure,16411,66.99
726,HCLTech,Java,84479,61.29
727,Wipro,Java,177281,97.89
728,TCS,AWS,41905,94.85
729,TCS,SAP,103987,58.1
730,HCLTech,Python,7578,93.05
731,Infosys,Python,100202,98.09
732,Infosys,SAP,48232,83.11
733,Infosys,Azure,26996,71.51
734,Infosys,GCP,163833,68.06
735,Infosys,Python,161758,58.15
736,TCS,Java,72131,54.72
737,Wipro,SAP,120843,87.85
738,HCLTech,Azure,135233,82.67
739,Infosys,Python,142411,68.49
740,Infosys,AWS,111188,91.99
741,HCLTech,Azure,77210,76.26
742,Infosys,Azure,82073,98.01
743,HCLTech,GCP,125602,50.58
744,HCLTech,Python,38786,55.61
745,Infosys,Azure,22947,99.93
746,Infosys,SAP,51897,53.7
747,Infosys,SAP,41272,97.23
748,TCS,Azure,29824,56.16
749,Infosys,Python,174204,82.5
750,Wipro,AWS,124807,76.19
751,HCLTech,GCP,97078,82.58
752,Infosys,Python,12262,93.19
753,Wipro,AWS,134492,62.99
754,HCLTech,Java,24302,56.36
755,HCLTech,SAP,7435,98.36
756,HCLTech,AWS,38603,67.26
757,Infosys,AWS,43538,69.54
758,HCLTech,SAP,177245,63.61
759,TCS,Azure,81931,60.31
760,HCLTech,Python,106584,58.01
761,HCLTech,GCP,23996,63.42
762,HCLTech,AWS,146110,91.79
763,Wipro,Azure,51371,79.86
764,HCLTech,SAP,73083,67.1
765,Infosys,AWS,77475,81.6
766,Infosys,Python,40623,75.86
767,Wipro,SAP,80519,64.21
768,Infosys,AWS,76241,69.06
769,Wipro,AWS,73413,56.48
770,Infosys,Azure,158084,90.1
771,Infosys,GCP,118231,51.77
772,Wipro,AWS,36146,74.38
773,Infosys,Python,161079,85.04
774,Infosys,GCP,7778,59.12
775,Wipro,SAP,129225,97.99
776,Wipro,AWS,123648,50.53
777,TCS,SAP,10357,51.25
778,Wipro,Python,42072,67.0
779,TCS,Azure,78402,98.05
780,Infosys,Azure,155237,84.33
781,Wipro,Azure,104672,86.23
782,Wipro,GCP,171369,86.22
783,Infosys,AWS,91416,68.78
784,Infosys,Azure,152317,95.19
785,Wipro,Python,79094,53.05
786,Wipro,SAP,54784,87.63
787,Infosys,AWS,38746,79.13
788,TCS,Python,107210,67.31
789,HCLTech,AWS,32319,63.92
790,HCLTech,Java,161917,96.05
